normalized_claim_id,claim_text,query_type,query_text,result_rank,title,url,source,source_quality_score,source_quality_label,snippet,content_type,semantic_similarity_score,cross_encoder_score,specificity_score,specificity_notes,final_rerank_score,relevance_score,extraction_notes,extracted_text,evidence_rank
normalized_claim_1,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",verification,Amazon human rights commitment verification,2,Hundreds ofAmazonemployees call for Jeff Bezos and... | The Verge,https://www.theverge.com/2021/5/25/22453784/amazon-employees-support-palestine-sever-business-contracts,,1.0,high,"Employees want the company to terminate business contracts with organizations that are complicit inhumanrightsviolations, like the Israeli Defense Forces. In April,Amazonand Google signed a $1.2 billion cloud computing contract with the Israeli government.",article,0.5211,0.00938985317666704,0.59,matched_company; matched_social_csr,0.6673864486118335,0.6673864486118335,article extracted,"More than 500 Amazon employees have signed an internal letter to Jeff Bezos and Andy Jassy calling for the company to acknowledge the plight of the Palestinian people. The move comes after Israeli airstrikes devastated Palestinians in Gaza, leaving 248 people dead. Hamas and Israel have since agreed to a ceasefire.
Hundreds of Amazon employees call for Jeff Bezos and Andy Jassy to support Palestine
In an internal letter, they’re asking Amazon to sever business contracts with the Israeli Defense Forces
In an internal letter, they’re asking Amazon to sever business contracts with the Israeli Defense Forces
“We ask Amazon leadership to acknowledge the continued assault upon Palestinians’ basic human rights under an illegal occupation... without using language that implies a power symmetry or situational equivalency, which minimizes and misrepresents the disruption, destruction, and death that has disproportionately been inflicted upon the Palestinians in recent days and over several decades,” employees wrote. “Amazon employs Palestinians in Tel Aviv and Haifa offices and around the world. Ignoring the suffering faced by Palestinians and their families at home erases our Palestinian coworkers.”
Employees want the company to terminate business contracts with organizations that are complicit in human rights violations, like the Israeli Defense Forces. In April, Amazon and Google signed a $1.2 billion cloud computing contract with the Israeli government.
The note echoes similar petitions from workers at Apple and Google. On May 18th, Jewish employees at Google penned a letter to Sundar Pichai calling for the company to “reject any definition of antisemitism that holds that criticism of Israel or Zionism is antisemitic.” Two days later, The Verge published a note from Muslim employees at Apple.
Muslim tech workers say executives have been slow to voice support for Palestinians, or condemn the violence in Gaza. Many feel their CEOs are choosing to ignore Israeli human rights abuses because the situation is fraught. The result, according to multiple sources, is that Muslims in tech feel undervalued and ignored.
Read the entire letter from Amazon employees below:
Dear Jeff, Andy, and the Executive Team,
In recent history, Amazon has stood up and led public initiatives to recognize the injustice that many communities are facing. Along with taking a public stance on inequity, Amazon has taken the time to internalize and reflect on how it can change the culture within the company to create a more inclusive and positive environment for all employees.
These efforts should be lauded.
But we’re writing to you today on a pressing matter: the human rights abuses facing the Palestinian people. As Amazonians, we believe it is our moral responsibility to stand in solidarity with and speak out on behalf of the millions of Palestinians who, for decades, have not only been dispossessed of their voices and victimhood, but, in essence, their humanity.
There is a long-standing, convoluted, and inhumane narrative that their suffering and deaths do not matter, and, in many cases, are warranted and commendable. Though, in the current milieu, we have seen millennials and Gen Zs see past this, amplifying the pain of Palestinians through various social media channels and demanding that more organizations reflect on where they stand on the issue of settler colonial violence.
Despite numerous UN resolutions and consensus from international human rights organizations, including Human Rights Watch and B’Tsleem, that the Palestinians are living under illegal military occupation and apartheid rule, those in positions of power and influence — who have boldly stood for human rights in so many other causes — have either chosen to remain silent, or have released milquetoast “both sides” statements. Enough is enough. The recent violent and deadly display of Palestinian displacement, disenfranchisement, and dehumanization cannot, once again, be actively or passively endorsed.
It is important to clarify that our stance against the Israeli military occupation of the Palestinian people is not a stance against the Jewish people.
Antisemitism has no place in our cause. Our narrative is a stance against a state continuing to perpetuate settle colonial violence against an indigenous people: the Palestinians.
In view of Amazon’s historic position in favor or human rights, we implore Amazon’s leadership to take the following actions:
- Protect and Guarantee Freedom of Speech: We ask Amazon leadership to reject, internally and publicly, any definition of antisemitism that implies that criticism of Israel or Zionism is antisemitic. Anti-Zionism is NOT antisemitism and mixing the two terms harms the pursuit of justice for Palestinians and Jews alike by limiting freedom of expression and distracting from real acts of antisemitism. We ask Amazon to commit to spending equitable time and effort to learn about and engage with the Palestinian community, as we do for the many other diverse communities, which make up our company.
- Acknowledge the Suffering: We ask Amazon leadership to acknowledge the continued assault upon Palestinians’ basic human rights under an illegal occupation, as evidenced and witnessed by the United Nations and human rights organizations, without using language that implies a power symmetry or situational equivalency, which minimizes and misrepresents the disruption, destruction, and death that has disproportionately been inflicted upon the Palestinians in recent days and over several decades. Amazon employs Palestinians in Tel Aviv and Haifa offices and around the world. Ignoring the suffering faced by Palestinians and their families at home erases our Palestinian coworkers.
- Create a Relief Fund for Palestinians Affected by Military Violence: We ask Amazon leadership to reaffirm its commitment to humanitarian aid by creating a fund that supports Palestinian human rights organizations that can help those affected by military violence in the Occupied Palestinian Territories.
- Establish Human Rights as an Imperative of Amazon Business and Operations: We ask Amazon leadership to commit to review and sever business contracts and corporate donations with companies, organizations, and/or governments that are active or complicit in human rights violations, such as the Israeli Defense Forces.
As part of the Amazon family, we are hopeful that our voices will be valued and heard, based on our industry-leading ID&E efforts to “take all of us, collectively, to move us forward on our journey…” We cannot think of a more appropriate application of allyship against oppression, inequity, and invisibility than this moment.
Amazon, as the innovator of some of the world’s greatest operational and digital technologies, has the power and privilege to extend this to social justice.
Through this message, we hope to fulfill our role as agents of Amazon, and, perhaps more importantly, of the global community.
We welcome the opportunity to engage with you on the this pressing matter, and appreciate your time and attention.
Signed by concerned, yet hopeful, Amazonians
Amazon did not immediately respond to a request for comment from The Verge.
Most Popular
- The SpaceX IPO is great for Elon Musk and terrible for you
- United flight forced to turn around because of a Bluetooth speaker name
- Nvidia, Microsoft, and Arm are all teasing Nvidia’s new N1X laptop processors
- AI grifters are creating fake Black people to sell Shein junk
- How Ferrari bungled the design of its first EV",1
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",criticism,Critiques of Amazon's supply chain human rights policy,2,Beyond 'Climate Pledge Arena': AreAmazon'sclimate goals for... ...,https://grist.org/climate/beyond-climate-pledge-arena-are-amazons-climate-goals-for-real/,,1.0,high,"ACEJ and otherAmazoncriticssay that the company is using deceptive carbon accounting techniques to distract from its increasing emissions. They also faultAmazon’sClimate Pledge Fund for focusing on technocratic solutions to the climate crisis, rather than on environmental justice.",article,0.2886,7.835685171572856e-05,0.64,matched_company; matched_supplier; matched_social_csr,0.6455274248981004,0.6455274248981004,article extracted,"This post has been updated to include comment from Amazon, which was received after publication.
On the same day last week that Amazon announced a $2 billion fund to bolster and develop low-carbon technologies, the company also quietly released its 2019 sustainability report. It showed that the total carbon emitted by the world’s largest online retailer actually increased by 15 percent compared to the previous year.
That timing raised a lot of eyebrows, and skeptics grew even warier on Thursday, when Amazon announced that it was christening a Seattle stadium the “Climate Pledge Arena,” named for the company’s recent plan to achieve net-zero carbon emissions by 2040. In order to inspire “global climate action,” a press release said, the venue would be outfitted with all-electric operations and an ice rink filled with reclaimed rainwater — making it “the greenest ice in the NHL.”
Amazon Employees for Climate Justice, or AECJ, a group of nearly 9,000 workers that has been openly calling on company leadership to take stronger climate action since April 2019, was quick to criticize the announcements. “This obvious PR stunt is indicative of the company’s entire approach to climate change,” the group tweeted on Thursday. “Pledges and symbols without real action.”
ACEJ and other Amazon critics say that the company is using deceptive carbon accounting techniques to distract from its increasing emissions. They also fault Amazon’s Climate Pledge Fund for focusing on technocratic solutions to the climate crisis, rather than on environmental justice. (In response to an emailed list of questions asking for the company’s response to these critiques, Amazon reiterated its commitment to its net-zero emissions plan, as well as its new venture fund and the arena.)
To Genevieve Guenther, founder and director of the nonprofit End Climate Silence, this all amounts to “full-stop greenwashing.” “If you drill down into the language of the announcement,” she told Grist, “you get deeper and deeper reservoirs of bullshit.”
One example is the way that Amazon calculated and presented its 2019 carbon footprint. In its sustainability report, Amazon attempts to justify its 15 percent emissions hike by pointing to a 22 percent sales increase, saying that because sales rose faster than emissions, the greenhouse gas associated with each dollar of production actually decreased 5 percent in 2019. Both Guenther and AECJ said that this focus on the so-called “carbon intensity” of Amazon’s operations distracts from its increasing emissions overall.
“Dollars are irrelevant to the health and sustainability of the planet,” AECJ tweeted. “‘Carbon intensity’ allows Amazon to prop its planet-harming profits up alongside its carbon emissions & claim the company is making relative progress.”
Critics also noted that Amazon didn’t account for emissions stemming from the supply chain and manufacture of the products that it sells, except for items sold under the Amazon brand name. However, the company did include those non-Amazon products’ sales in its carbon intensity calculations. According to University of Washington professors Aseem Prakash and Nives Dolsak, this means that Amazon is inflating its estimate of the drop in carbon intensity while “grossly under-accounting” its net emissions.
Most disturbing to many critics is Amazon’s relative silence on its ongoing relationship with the fossil fuel industry through Amazon Web Services, known as AWS. In an aggressive competition with other tech giants like Microsoft and Google, Amazon solicits business from oil and gas companies, promising to provide machine learning and other data-based services to help scout for, drill, and extract more fossil fuels. There was no news on Amazon’s AWS partnerships in last week’s press releases.
Sharon George, a senior lecturer on environmental sustainability at Keele University in the United Kingdom, also said that the climate venture fund’s emphasis on technological innovation could distract from the importance of rapid decarbonization.
“I think there’s a danger that technological fixes are seen as the solution to allow companies to just keep doing what they always did,” she told Grist. “Technology can help but it shouldn’t be seen as the whole solution.”
In fact, some climate researchers say we already have the technology necessary to reach negative emissions by the 2040s. Besides, viewing the climate crisis as a purely technological issue elides environmental justice concerns, according to ACEJ. The group says that Amazon’s Climate Pledge Arena will pour dollars into Seattle’s affluent, predominantly white Queen Anne neighborhood, while doing little to mitigate the effects of its pollution-intensive shipping and warehouse operations in poorer and nonwhite neighborhoods.
Amazon’s promise to use carbon offsets to achieve “net-zero” emissions poses further environmental justice concerns. For example, Amazon has said it will neutralize any remaining emissions from its Climate Pledge Arena by planting trees, likely in the global south. But besides being questionably effective carbon sinks — trees can die or be killed, after all, especially in a world where massive wildfires are increasingly prevalent —these efforts may have adverse human rights implications: Some reforestation schemes have been shown to drive food insecurity or displace Indigenous peoples.
“At the end of the day, [carbon offsets] can create more problems than they solve,” said Jesse Bragg, media director for the nonprofit Corporate Accountability, in an interview with Grist. “Any plan that seeks to get to net-zero or to get to zero by offsetting emissions is missing the point.”
Instead of starting a $2 billion climate venture fund, Bragg argued, Amazon could withdraw its funding from think tanks hostile to climate action. It could end AWS partnerships with the fossil fuel industry. Or, instead of trying to more sustainably ship 10 billion packages around the world every year, it could simply ship fewer packages.
But if climate action means scaling back, Bragg said, “you can bet that Jeff Bezos or anyone involved in the boardroom is not interested in having that discussion.”
As AECJ has noted, Amazon’s publicly-disclosed emissions report now allows the company to be held accountable for its carbon footprint. However, the group also believes that it shows that the company is still prioritizing growth and sales over the urgent need to reduce overall carbon emissions and protect vulnerable communities. Absent a massive change in its business model, many say they lack confidence that Amazon will make good on its pledge to the climate.
“With the COVID situation where people have been doing more buying online,” George told Grist, “I would be amazed if their climate emissions over the next year aren’t even higher.”",1
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",contradiction,Amazon suppliers human rights controversies,1,"Articles On: Xinjiang,AmazonSuppliers,HumanRights, Uyghur, and...",https://www.hoover.org/research/articles-xinjiang-amazon-suppliers-human-rights-uyghur-and-solar-panels,,0.5,medium,"Amazonsupplierslinked to forced labor in China, watchdog group says by Louise Matsakis via NBC News on March 7, 2022. In Xinjiang, a new normal under a new chief — and also more of the same by Darren Byler via SupChina on March 2, 2022.",article,0.4123,0.010737608783173432,0.64,matched_company; matched_supplier; matched_social_csr,0.6149581630741107,0.6149581630741107,article extracted,"THIS SECTION DOCUMENTS THE MYRIAD ABUSES THAT THE CHINESE COMMUNIST PARTY COMMITS AGAINST ITS OWN PEOPLE IN VIOLATION OF ITS COMMITMENTS UNDER THE UN UNIVERSAL DECLARATION OF HUMAN RIGHTS.
VIDEO – ‘The Xinjiang emergency’ – in conversation with Michael Clarke
via University of Technology Sydney on March 2, 2022
Amazon suppliers linked to forced labor in China, watchdog group says
by Louise Matsakis
via NBC News on March 7, 2022
In Xinjiang, a new normal under a new chief — and also more of the same
by Darren Byler
via SupChina on March 2, 2022
U.N. Human Rights Chief to Visit China
by Nick Cumming-Bruce
via New York Times on March 8, 2022
Human-Rights Groups Worry U.N. Is Bowing to Beijing Over Xinjiang
by Chao Deng
via Wall Street Journal on March 9, 2022
U.S. tells China to give UN access to Xinjiang to probe Uyghur treatment
via Reuters on March 9, 2022
Demand for British solar panels spikes over Chinese slave labour fears
by Samuel Webb
via Independent on March 8, 2022",2
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",verification,Amazon supplier human rights verification,1,The LGBTQRightsGroup That Helped LaunderAmazon’s Image,https://inthesetimes.com/article/amazon-human-rights-campaign-lgbtq-workers-amazon-labor-union,,0.0,unknown,"HumanRightsCampaign gaveAmazona perfect score on workplace equality—whileAmazonwas donating to the organization. Sarah Lazare April 14, 2022. A worker cleans the wall of theHumanRightsCampaign building, June 17, 2016 in Washington, DC. Mark Wilson/Getty Images.",article,0.4772,0.012315632042771744,0.64,matched_company; matched_supplier; matched_social_csr,0.5980104712149701,0.5980104712149701,article extracted,"The LGBTQ Rights Group That Helped Launder Amazon’s Image
Human Rights Campaign gave Amazon a perfect score on workplace equality—while Amazon was donating to the organization.
Sarah Lazare
The stunning vote by Amazon warehouse workers earlier this month to form a union at the JFK8 warehouse in Staten Island, New York, has invited fresh scrutiny of the e-commerce giant’s for-hire union busters, as well as the groups and politicians that do business with them.
But there is another category of organization that has largely evaded such negative publicity: groups that help launder the image of Amazon, by presenting the company as a fair and enlightened employer. Perhaps the worst offender in this category is Human Rights Campaign (HRC), which describes itself as “the nation’s largest lesbian, gay, bisexual and transgender (LGBTQ+) civil rights organization.”
HRC has been criticized in the past for taking pro-corporate positions and undermining social justice causes — for example, supporting a version of the Employment Non-Discrimination Act in 2007 that would have excluded key workplace protections for transgender people. More recently, the organization has fallen under scrutiny for its close ties to the disgraced administration of former New York Governor Andrew Cuomo.
In its “Corporate Equality Index 2022,” released in January, HRC said that Amazon is among the “Best Places to Work for LGBTQ+ Equality.” HRC gave Amazon a score of 100%, alongside other major companies like Walmart and Chevron. This marks the fifth year in a row that the company has received a flawless equality score.
HRC’s report gives few details about why, exactly, Amazon received this rating, but the organization said in a statement, “To earn top ratings, these employers took concrete steps to establish and implement comprehensive policies, benefits and practices that ensure greater equity for LGBTQ+ workers and their families.”
Amazon, it turns out, is a donor to HRC. The e-commerce giant is listed as a “platinum partner” on HRC’s website, and is among those companies thanked for their “generous support of the work of the Human Rights Campaign.” It is not immediately clear how much money platinum partners donate to HRC, but platinum is the highest level of donor listed on the organization’s website. HRC did not return a request for comment about whether Amazon’s donations influenced the company’s rating.
Amazon has used its “perfect score” for promotional purposes. A company statement released in January is titled, “Amazon earns perfect score for LGBTQ-supportive workplaces,” and vaunts the company’s supposed pro-LGBTQ credentials.
In the statement, Amazon highlights its “affinity group,” which is called “glamazon.” It states, “There are now 60 active glamazon chapters around the world that work with Amazon’s People Experience and Technology Solutions and business teams to create an inclusive workplace, host hundreds of community events, and celebrate Pride annually.” (This is not the first time Amazon has advertised its HRC score in promotional materials.)
But Justine Medina, a queer worker at the JFK8 warehouse, says the company’s vicious union busting tactics, including holding captive audience meetings and arresting organizers, are “absolutely incompatible with LGBTQ protections and a good work environment and safety.”
“Unions are one of the only ways workers can stand up and get their rights,” says Medina, an active organizer in the successful union campaign that was led by Amazon Labor Union (ALU). “Union busting hinders the rights of the most oppressed, because unions are how oppressed workers come together and secure their rights.”
There is evidence to back this up. In 2020, the UCLA Labor Center published the results of a survey of 1,004 United Food and Commercial Workers members in the United States and Canada. The study found that “three-quarters of survey participants said their local union takes concrete actions to support LGBTQ workers and 70% said LGBTQ workers are protected by their union contracts,” according to a summary.
Amazon workers say LGBTQ employees need a union for a reason: The company has faced a range of allegations of discrimination and poor working conditions from its LGBTQ workers. A May 2021 survey from Glassdoor, which allows for anonymous reviews of employers, found that LGBTQ employees are “less satisfied” at Amazon than their non-LGBTQ coworkers. Among the major companies named in the report, Amazon was one of the lower-ranked.
In 2017, a transgender woman and her husband sued Amazon, alleging a climate of harassment, slurs, discrimination and physical threats at a Kentucky warehouse. When they complained to management, the couple charged, they faced retaliation instead of support. (Amazon settled the case in 2019, and the details of the agreement were not disclosed, while the company denied wrongdoing.)
And in 2020, a transgender man at a warehouse in New Jersey filed a federal discrimination lawsuit against Amazon, charging that, after telling his boss that he was pregnant, he was denied a promotion, placed on leave and denied pregnancy accommodations. (The case is still pending.)
Complaints extend up the chain of command, with LGBTQ managers and corporate employees also saying they’ve faced a climate of anti-LGBTQ discrimination, from New York to Washington. A former executive in Amazon’s web services cloud-computing business says she was fired in retaliation for pursuing a lawsuit against a manager for homophobic comments he allegedly made. The list goes on.
The general workplace conditions that pushed employees to unionize Amazon in the first place — low wages, inadequate breaks, surveillance and lack of safety protections — also, of course, impact LGBTQ workers. The best way to achieve equality, workers have argued, is to build the collective power of workers to oppose workplace injustice. “Amazon doesn’t treat us like real human beings; we’re treated just like machines,” Brima Sylla, a worker and organizer in the union campaign at the JFK8 warehouse, told Jacobin in a recent interview.
LGBTQ people comprise part of the workforce demanding better conditions. Michael Aguilar used to work at JFK8, and now is at the neighboring LDJ5 warehouse, where ALU is slated to hold a union election later this month. According to Aguilar, anti-queer discrimination is a problem at both warehouses — a charge Medina corroborates. “This building [LDJ5] has a higher percentage of queer people. There are a lot of trans people and a lot of lesbians and gays. The stories I’ve heard already are disgusting.”
Thanks to the extraordinary effort of Amazon workers to name and expose the actions of union busters, they’ve helped make association with them politically toxic, and even forced one, the research and public relations firm Global Strategy Group, to issue an apology on April 11, which states: “While there have been factual inaccuracies in recent reports about our work for Amazon, being involved in any way was a mistake. We are deeply sorry, and we have resigned that work.”
According to Medina, HRC’s “absurd” flattery of Amazon also deserves attention. “It’s indicative of the way these major corporations buy themselves publicity through back channels to make themselves look more legitimate.”
Update: After publication of this article, Kelly Nantel, a spokesperson for Amazon, sent the following statement to In These Times: “At Amazon, we believe that the rights of LGBTQ+ people must be protected. We stand together with the LGBTQ+ community, were early and strong supporters of marriage equality, and are working at the U.S. federal and state level on legislation, including supporting passage of the Equality Act. We also work hard to foster an inclusive work environment, including providing resources and benefits for LGBTQ+ employees.”
Maggie Duffy contributed research to this article.
Sarah Lazare is the editor of Workday Magazine and a contributing editor for In These Times. She tweets at @sarahlazare.",3
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,criticism,Critiques of Amazon's human rights policies in supply chain,5,Legal Opinion on the Responsibility of Amazon with Respect to Human Rights due Diligence Over Third-Party Supply Chains,https://globalrightscompliance.org/legal-opinion-on-the-responsibility-of-amazon-with-respect-to-human-rights-due-diligence-over-third-party-supply-chains/,,0.5,medium,"November 28, 2025 -Failure to address human rights risks in its marketplace supply chainscould result not only in reputational harm, but also in legal consequences, including the withdrawal of products linked to forced labour from the EU market.",article,0.5327,0.07795253013950157,0.64,matched_company; matched_supplier; matched_social_csr,0.6675833855488256,0.6675833855488256,article extracted,"As millions of products are set to be purchased on Amazon this Black Friday, the company’s responsibility to ensure that these sales are not built on labour exploitation has never been more critical.
Last year alone, independent sellers on Amazon’s platform sold over 750 million products during the Black Friday–Cyber Monday period, a record-breaking figure that illustrates just how powerful Amazon’s marketplace model has become. But with this scale comes responsibility. In a new legal opinion, Ana Santos Duarte, Business & Human Rights Legal Adviser at GRC, examines Amazon’s obligations under international business and human rights standards and emerging EU legislation.
The analysis draws on Labour Behind the Label’s report ‘Unboxing Marketplace Fashion: Worker rights in the supply chains behind online fashion consumption, which documented indicators of forced labour, wage theft and other abuses at three Pakistani garment factories, she highlights that Amazon’s relationship with third-party (3P) sellers.
The opinion highlights that Amazon’s relationship with its 3P sellers constitutes a business relationship under the UN Guiding Principles on Business and Human Rights (UNGPs) and the OECD Guidelines, meaning its human rights due diligence efforts are expected to also cover these sellers and their supply chains, rather than relying on reactive or after-the-fact measures. It also warns that as the Corporate Sustainability Due Diligence Directive (CSDDD) and EU Forced Labour Regulation (EUFLR) come into effect, the stakes are even higher.
Failure to address human rights risks in its marketplace supply chains could result not only in reputational harm, but also in legal consequences, including the withdrawal of products linked to forced labour from the EU market. This assessment underscores an urgent need for Amazon to strengthen its human rights due diligence processes and ensure that its marketplace model does not contribute to systemic labour exploitation.
Read the full legal opinion here.",1
