normalized_claim_id,query_type,query_text
normalized_claim_7,verification,Microsoft carbon neutrality progress report
normalized_claim_7,contradiction,Microsoft emissions trends criticism
normalized_claim_7,criticism,Microsoft carbon negative claim investigation
normalized_claim_7,methodology,Microsoft emissions methodology carbon neutrality
normalized_claim_7,context,Microsoft emissions context AI data center growth
normalized_claim_5,verification,Microsoft carbon neutrality definition verification
normalized_claim_5,contradiction,Microsoft carbon neutrality boundary emissions contradiction
normalized_claim_5,criticism,Microsoft carbon neutrality criticism investigation report
normalized_claim_5,methodology,Microsoft carbon neutrality methodology carbon credits assurance
normalized_claim_5,context,Microsoft carbon neutrality context emissions trends analysis
normalized_claim_34,verification,Microsoft supplier emissions estimation methodology report
normalized_claim_34,contradiction,Microsoft suppliers emissions data gaps analysis
normalized_claim_34,criticism,Microsoft supplier emissions estimation criticism NGO report
normalized_claim_34,methodology,Microsoft supplier emissions estimation factor calculation methodology
normalized_claim_34,context,Microsoft supplier emissions trends over time analysis
normalized_claim_6,verification,Microsoft carbon neutrality FY13-present verification
normalized_claim_6,contradiction,Microsoft emissions trends contradiction
normalized_claim_6,criticism,Microsoft carbon neutrality criticism NGO analysis
normalized_claim_6,methodology,Microsoft carbon neutrality methodology assurance Scope 2 emissions
normalized_claim_6,context,Microsoft emissions context AI datacenter growth supply chain
normalized_claim_25,verification,Microsoft water inventory report
normalized_claim_25,contradiction,Microsoft water usage trends over time
normalized_claim_25,criticism,Microsoft water management criticism NGO analysis
normalized_claim_25,methodology,Microsoft water inventory methodology boundaries assurance
normalized_claim_25,context,Microsoft water use trends supply chain impacts waste
normalized_claim_23,verification,Microsoft renewable energy certificates procurement verification
normalized_claim_23,contradiction,Microsoft electricity consumption emissions trends
normalized_claim_23,criticism,Microsoft 100% renewable energy criticism investigation
normalized_claim_23,methodology,Microsoft renewable electricity procurement methodology market-based emissions
normalized_claim_23,context,Microsoft global electricity consumption trends data center AI growth
normalized_claim_8,verification,Microsoft carbon removal credits retirement verification
normalized_claim_8,contradiction,Microsoft unretired carbon removal credits controversy
normalized_claim_8,criticism,Microsoft carbon neutral boundary criticism NGO analysis
normalized_claim_8,methodology,Microsoft carbon removal credits methodology retirement assurance
normalized_claim_8,context,Microsoft carbon neutral boundary context trends over time
normalized_claim_20,verification,Microsoft carbon removal credits criteria verification
normalized_claim_20,contradiction,Microsoft contracted carbon removal credits performance contradiction
normalized_claim_20,criticism,Microsoft carbon removal credits criticism investigation
normalized_claim_20,methodology,Microsoft carbon removal credits methodology assurance
normalized_claim_20,context,Microsoft carbon removal credits context market analysis
normalized_claim_21,verification,Microsoft renewable energy procurement verification
normalized_claim_21,contradiction,Microsoft Scope 2 emissions unbundled EACs criticism
normalized_claim_21,criticism,Microsoft green power products controversy
normalized_claim_21,methodology,Microsoft renewable energy procurement methodology RECs PPAs
normalized_claim_21,context,Microsoft renewable energy trends over time comparison
normalized_claim_18,verification,Microsoft carbon inventory report
normalized_claim_18,contradiction,Microsoft emissions Scope 3 supply chain growth
normalized_claim_18,criticism,Microsoft carbon negative claim criticism
normalized_claim_18,methodology,Microsoft emissions methodology Scope 3 boundaries
normalized_claim_18,context,Microsoft emissions trends over time data center AI growth
normalized_claim_10,verification,Microsoft direct renewable electricity percentage FY24 verification
normalized_claim_10,contradiction,Microsoft direct renewable electricity percentage FY24 comparison previous years
normalized_claim_10,criticism,Microsoft direct renewable electricity claim criticism
normalized_claim_10,methodology,Microsoft direct renewable electricity methodology FY24
normalized_claim_10,context,Microsoft direct renewable electricity trend over time context
normalized_claim_28,verification,Microsoft Scope 3 emissions report
normalized_claim_28,contradiction,Microsoft Scope 3 emissions trends
normalized_claim_28,criticism,Microsoft Scope 3 emissions criticism
normalized_claim_28,methodology,Microsoft Scope 3 emissions methodology
normalized_claim_28,context,Microsoft Scope 3 emissions supply chain context
normalized_claim_19,verification,Microsoft operational control approach GHG emissions verification
normalized_claim_19,contradiction,Microsoft GHG emissions reporting inconsistencies
normalized_claim_19,criticism,Microsoft environmental sustainability criticism
normalized_claim_19,methodology,Microsoft GHG emissions reporting methodology
normalized_claim_19,context,Microsoft environmental metrics trends over time
normalized_claim_13,verification,Microsoft water consumption FY24 verification
normalized_claim_13,contradiction,Microsoft water stress areas emissions contradiction
normalized_claim_13,criticism,Microsoft water consumption criticism NGO analysis
normalized_claim_13,methodology,Microsoft water consumption methodology boundaries assurance
normalized_claim_13,context,Microsoft water use trends supply chain impacts FY24 context
