normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_13,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,commitment,human_rights,governance_ai,claim_13,3,doc_1_global-human-rights-principles:p3,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,1,HIGH,true,,76,supply_chain; supplier; human_rights
normalized_claim_2,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",policy,supply_chain,governance_ai,claim_2,2,doc_1_global-human-rights-principles:p2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",1,HIGH,true,,50,supplier; human_rights
normalized_claim_8,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",commitment,human_rights,governance_ai,claim_8,2,doc_1_global-human-rights-principles:p2,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",1,HIGH,true,,26,human_rights
normalized_claim_7,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,commitment,human_rights,governance_ai,claim_7,2,doc_1_global-human-rights-principles:p2,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,1,HIGH,true,,26,human_rights
normalized_claim_6,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",commitment,human_rights,governance_ai,claim_6,2,doc_1_global-human-rights-principles:p2,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",1,HIGH,true,,26,human_rights
normalized_claim_4,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,commitment,human_rights,governance_ai,claim_4,2,doc_1_global-human-rights-principles:p2,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,1,HIGH,true,,26,human_rights
normalized_claim_3,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,policy,supply_chain,governance_ai,claim_3,2,doc_1_global-human-rights-principles:p2,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,1,HIGH,true,,26,supply_chain
normalized_claim_12,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",policy,human_rights,governance_ai,claim_12,3,doc_1_global-human-rights-principles:p3,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",1,HIGH,true,,26,human_rights
normalized_claim_1,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",commitment,human_rights,governance_ai,claim_1,2,doc_1_global-human-rights-principles:p2,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",1,HIGH,true,,26,human_rights
normalized_claim_11,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.,policy,supply_chain,governance_ai,claim_11,3,doc_1_global-human-rights-principles:p3,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.,1,HIGH,true,,24,supplier
normalized_claim_9,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company.",commitment,human_rights,governance_ai,claim_9,2,doc_1_global-human-rights-principles:p2,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company.",1,HIGH,true,,0,generic_medium_value
normalized_claim_5,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars.,commitment,human_rights,governance_ai,claim_5,2,doc_1_global-human-rights-principles:p2,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars:,1,HIGH,true,,0,generic_medium_value
normalized_claim_10,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations.",commitment,human_rights,governance_ai,claim_10,2,doc_1_global-human-rights-principles:p2,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations.",1,HIGH,true,,0,generic_medium_value
