claim_id,document_id,document_name,document_path,page_number,claim_text,claim_type,is_verifiable,claim_quality_score,is_reporting_claim,topic,is_future,source_excerpt
claim_1,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",commitment,True,4,False,human_rights,False,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers."
claim_2,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",policy,True,4,False,supply_chain,False,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors."
claim_3,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,policy,True,4,False,supply_chain,False,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.
claim_4,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,commitment,True,4,False,human_rights,False,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.
claim_5,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars.,commitment,True,4,False,human_rights,False,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars:
claim_6,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",commitment,True,4,False,human_rights,False,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices."
claim_7,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,commitment,True,4,False,human_rights,False,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.
claim_8,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",commitment,True,4,False,human_rights,False,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business."
claim_9,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company.",commitment,True,4,False,human_rights,False,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company."
claim_10,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,2,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations.",commitment,True,4,False,human_rights,False,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations."
claim_11,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,3,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.,policy,True,3,False,supply_chain,False,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.
claim_12,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,3,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",policy,True,3,False,human_rights,False,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach."
claim_13,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,C:\Users\teore\Documents\csr-system\data\raw\amazon\global-human-rights-principles.pdf,3,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,commitment,True,3,False,human_rights,False,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.
