normalized_claim_id,claim_text,claim_family,final_label,greenwashing_risk_level,evidence_relevance,justification,risk_reasoning,top_evidence_url,top_evidence_title,supporting_excerpt
normalized_claim_60,"We must also improve every metric, including the energy and water used to make our products, how safe our customers and employees are and the affordability and accessibility of our products.",environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_4,"We reaffirm our commitment to Diversity, Equity and Inclusion (DEI).",governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_35,Tesla’s Human Rights and Conflict Minerals Policy sets out our approach to this matter and is applied throughout the company and across our global supply chain.,environmental,UNVERIFIED,MEDIUM,BACKGROUND,The evidence provided discusses Tesla's broader business directions and shareholder proposals but does not directly address the claim about their Human Rights and Conflict Minerals Policy.,"The evidence is background information and does not raise specific concerns or contradict the claim, thus setting the greenwashing risk level to MEDIUM.",,,
normalized_claim_44,This statement sets out our evaluation of risks of modern slavery in our business and the actions taken during the financial year to address these risks and prevent modern slavery and human trafficking in our operations and supply chains.,governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_58,Tesla solar panels have generated more electricity than has been consumed by our vehicles and factories between 2012 and 2021.,environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_67,We both develop the technology behind this ecosystem and focus on the affordability of the products that comprise it.,governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_40,"Tesla implements appropriate disciplinary action, including potential termination of contract, for those suppliers who do not comply with our Human Rights and Conflict Minerals Policy.",environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_10,"Focus on sustainable solutions that solve problems at the root cause and reimagine new programs with diversity, equity and inclusion principles embedded in the design.",governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_65,And the world cannot address its energy habits without first directly reducing emissions in the transportation and energy sectors.,environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_32,All of our recruitment procedures comply with the relevant local regulations and standards; we adopt a fair and equitable approach when scouting for talent; and all wages are compliant with local laws and regulations.,governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_38,"Tesla recognizes, however, that due to the unavoidable realities of our global supply chain, we may in some instances be indirectly exposed to modern slavery risks.",environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_21,Women represent 17% of Directors and Vice Presidents in the U.S.,governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_62,"Our products and services are focused on transportation, energy production and storage.",environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_20,"Women represent 23% of all promotions, which is a 5% increase from the previous year.",governance_ai,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
normalized_claim_36,Tesla is committed to ensuring that our suppliers do not use modern slavery or child labour or engage in human trafficking.,environmental,UNVERIFIED,UNCLEAR,UNRELATED,No external evidence was available for this claim.,No external evidence was available to assess greenwashing risk.,,,
