normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_1,doc_1_2020-dei-impact-report,2020 DEI impact report,Tesla is on a mission to accelerate the world’s transition to sustainable energy.,statement,social_impact,governance_ai,claim_1,2,doc_1_2020-dei-impact-report:p2,Tesla is on a mission to accelerate the world’s transition to sustainable energy.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_2,doc_1_2020-dei-impact-report,2020 DEI impact report,We focus relentlessly on innovation and rely on teamwork and collaboration to help achieve this goal.,statement,social_impact,governance_ai,claim_2,2,doc_1_2020-dei-impact-report:p2,We focus relentlessly on innovation and rely on teamwork and collaboration to help achieve this goal.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_3,doc_1_2020-dei-impact-report,2020 DEI impact report,"Along the way, we are continuing to build a culture that is safe, respectful, fair and inclusive for all of our employees.",statement,human_rights,governance_ai,claim_3,2,doc_1_2020-dei-impact-report:p2,"Along the way, we are continuing to build a culture that is safe, respectful, fair and inclusive for all of our employees.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_5,doc_1_2020-dei-impact-report,2020 DEI impact report,Tesla values individuality as much as we value collaboration.,statement,ethics,governance_ai,claim_5,2,doc_1_2020-dei-impact-report:p2,Tesla values individuality as much as we value collaboration.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_6,doc_1_2020-dei-impact-report,2020 DEI impact report,We value and include underrepresented communities at all levels of our company.,commitment,social_impact,governance_ai,claim_6,4,doc_1_2020-dei-impact-report:p4,We value and include underrepresented communities at all levels of our company.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_7,doc_1_2020-dei-impact-report,2020 DEI impact report,We do the work required to ensure that our culture is as diverse and inclusive as it is collaborative and driven.,commitment,social_impact,governance_ai,claim_7,4,doc_1_2020-dei-impact-report:p4,We do the work required to ensure that our culture is as diverse and inclusive as it is collaborative and driven.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_8,doc_1_2020-dei-impact-report,2020 DEI impact report,"Provide transparency in our DEI programs and results to set goals, measure our progress, identify areas of improvement and celebrate successes.",policy,governance,governance_ai,claim_9,5,doc_1_2020-dei-impact-report:p5,"Provide transparency in our DEI programs and results to set goals, measure our progress, identify areas of improvement and celebrate successes.",1,HIGH,false,below_main_analysis_priority_cap,16,transparency
normalized_claim_9,doc_1_2020-dei-impact-report,2020 DEI impact report,"Integrate accountability measures for organizational, team and individual progress and results into our business operations.",policy,governance,governance_ai,claim_10,5,doc_1_2020-dei-impact-report:p5,"Integrate accountability measures for organizational, team and individual progress and results into our business operations.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_11,doc_1_2020-dei-impact-report,2020 DEI impact report,We are expanding our team and adding company-wide talent development and learning programs to embed DEI principles in everything we do.,commitment,human_rights,governance_ai,claim_13,6,doc_1_2020-dei-impact-report:p6,"We are backing up our commitment to DEI by expanding our team, adding company-wide talent development and learning programs to our function and embedding DEI principles in everything that we do.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_12,doc_1_2020-dei-impact-report,2020 DEI impact report,"Tesla is investing in communities like Reno, Nevada, Buffalo, New York, and Austin, Texas, to support the acceleration of robotics, STEAM and sustainability programming within the education systems.",commitment,social_impact,governance_ai,claim_14,6,doc_1_2020-dei-impact-report:p6,"We are investing in communities like Reno, Nevada, Buffalo, New York, and Austin, Texas, to support the acceleration of robotics, STEAM and sustainability programming within the education systems",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_13,doc_1_2020-dei-impact-report,2020 DEI impact report,Tesla offers first-in-line employment opportunities to program participants.,commitment,labor,governance_ai,claim_15,6,doc_1_2020-dei-impact-report:p6,and we offer first-in-line employment opportunities to program participants.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_14,doc_1_2020-dei-impact-report,2020 DEI impact report,"Tesla is committed to bringing a bias for excellence to Diversity, Equity and Inclusion.",commitment,ethics,governance_ai,claim_16,6,doc_1_2020-dei-impact-report:p6,"We are committed to bringing that same bias for excellence to Diversity, Equity and Inclusion at Tesla.",1,HIGH,false,below_main_analysis_priority_cap,36,diversity; inclusion
normalized_claim_15,doc_1_2020-dei-impact-report,2020 DEI impact report,The underrepresented communities collectively represent 60% of the workforce.,statement,labor,governance_ai,claim_17,8,doc_1_2020-dei-impact-report:p8,Underrepresented Communities in the U.S. are typically underrepresented in the U.S. This group collectively represents 60% of our workforce.,1,HIGH,false,below_main_analysis_priority_cap,3,specific_percentage
normalized_claim_16,doc_1_2020-dei-impact-report,2020 DEI impact report,33% of Directors and Vice Presidents are from underrepresented communities.,statement,labor,governance_ai,claim_18,8,doc_1_2020-dei-impact-report:p8,"Currently, 33% of our Directors and Vice Presidents and are from underrepresented communities.",1,HIGH,false,below_main_analysis_priority_cap,3,specific_percentage
normalized_claim_17,doc_1_2020-dei-impact-report,2020 DEI impact report,68% of all new hires and 65% of this year’s promotions were from underrepresented communities.,statement,labor,governance_ai,claim_19,8,doc_1_2020-dei-impact-report:p8,68% of all new hires and 65% of this year’s promotions were from underrepresented communities.,1,HIGH,false,below_main_analysis_priority_cap,3,specific_percentage
normalized_claim_18,doc_1_2020-dei-impact-report,2020 DEI impact report,Black and African American employees represent 10% of the U.S. workforce.,statement,labor,governance_ai,claim_21,8,doc_1_2020-dei-impact-report:p8,Black and African American employees are 10% of our U.S. workforce.,1,HIGH,false,below_main_analysis_priority_cap,3,specific_percentage
normalized_claim_19,doc_1_2020-dei-impact-report,2020 DEI impact report,Women represent 21% of our overall U.S. workforce.,statement,labor,governance_ai,claim_22,9,doc_1_2020-dei-impact-report:p9,Women represent 21% of our overall U.S. workforce and 23% of all promotions – a 5% increase from last year.,1,HIGH,false,below_main_analysis_priority_cap,-17,specific_percentage; low_information
normalized_claim_22,doc_1_2020-dei-impact-report,2020 DEI impact report,Nearly 25% of all U.S. hires in 2020 were women.,statement,labor,governance_ai,claim_25,9,doc_1_2020-dei-impact-report:p9,"In 2020, nearly 25% of all U.S. hires have been women.",1,HIGH,false,below_main_analysis_priority_cap,-14,specific_year; specific_percentage; low_information
normalized_claim_23,doc_1_2020-dei-impact-report,2020 DEI impact report,Many of our executives started at Tesla as individual contributors and are now leading some of our most innovative teams.,practice,human_rights,governance_ai,claim_27,10,doc_1_2020-dei-impact-report:p10,Many of our executives started at Tesla as individual contributors and are now leading some of our most innovative teams.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_24,doc_1_2020-dei-impact-report,2020 DEI impact report,"Valerie Workman was promoted from Associate General Counsel, Compliance to the Head of Human Resources for all of North America, EMEA and the Asian Pacific (excluding China) in less than two years.",result,human_rights,governance_ai,claim_28,10,doc_1_2020-dei-impact-report:p10,"Valerie Workman was hired in 2018. In less than two years she was promoted from Associate General Counsel, Compliance, to the Head of Human Resources for all of North America, EMEA and the Asian Pacific (excluding China)",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_25,doc_1_2020-dei-impact-report,2020 DEI impact report,Valerie Workman became Tesla’s Vice President of People just eight months after her previous promotion.,result,human_rights,governance_ai,claim_29,10,doc_1_2020-dei-impact-report:p10,Just eight months later in July 2020 Valerie was promoted again to become Tesla’s Vice President of People.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_26,doc_1_2020-dei-impact-report,2020 DEI impact report,"Valerie Workman leads Tesla’s Human Resources, Recruiting, Workplace, Benefits, Diversity Equity & Inclusion and Employee Relations programs.",practice,human_rights,governance_ai,claim_30,10,doc_1_2020-dei-impact-report:p10,"Reporting directly to the CEO, Valerie plays a critical role as part of the executive leadership team and leads Tesla’s Human Resources, Recruiting, Workplace, Benefits, Diversity Equity & Inclusion and Employee Relations programs.",1,HIGH,false,below_main_analysis_priority_cap,36,diversity; inclusion
normalized_claim_27,doc_1_2020-dei-impact-report,2020 DEI impact report,"Valerie Workman led teams that developed innovative, employee-focused programs in response to the pandemic.",result,human_rights,governance_ai,claim_31,10,doc_1_2020-dei-impact-report:p10,"As a member of Tesla’s COVID-19 CORE TEAM, Valerie led the teams that developed innovative, employee-focused programs in response to the pandemic.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_28,doc_1_2020-dei-impact-report,2020 DEI impact report,"At Tesla, excellence is seen as the core competency for any role and this perspective gives leadership the flexibility to provide employees with new opportunities.",practice,human_rights,governance_ai,claim_32,10,doc_1_2020-dei-impact-report:p10,"At Tesla, excellence is seen as the core competency for any role and this perspective gives leadership the flexibility to provide employees with new opportunities to plug into the areas where their talents are needed.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
