normalized_claim_id,claim_text,final_label,greenwashing_risk_level,evidence_relevance,justification,risk_reasoning,top_evidence_url,top_evidence_title,supporting_excerpt
normalized_claim_7,Microsoft has maintained its commitment to carbon neutrality while progressing towards a carbon negative goal.,PARTIALLY_SUPPORTED,MEDIUM,DIRECT,"The evidence shows that Microsoft's emissions have increased, but the company is still making significant efforts towards renewable energy and carbon removal. This partially supports the claim of maintaining a commitment to carbon neutrality while progressing towards a carbon negative goal.","There are concerns about rising emissions due to data center builds for AI systems, which may indicate challenges in achieving their stated goals despite ongoing efforts.",https://www.datacenterdynamics.com/en/news/microsoft-emissions-up-23-since-2020-blames-ai-data-centers/,"Microsoft emissions up 23% since 2020, company blames AI data centers...","While emissions have increased, Microsoft has continued to contract significant renewable capacity to decarbonize its portfolio. The hyperscaler contracted a total of 19GW of new renewable power in 2024, across 16 countries, through long-term Power Purchase Agreements (PPA)."
normalized_claim_5,Microsoft defines carbon neutrality as matching the emissions within the carbon neutrality boundary with an equivalent amount of carbon credits.,SUPPORTED,MEDIUM,DIRECT,The evidence directly supports Microsoft's definition of carbon neutrality as matching emissions with an equivalent amount of renewable energy and carbon offsets.,"The evidence suggests that while Microsoft is committed to achieving net zero through various measures, there are uncertainties and challenges in meeting the ambitious goals, raising some greenwashing risks if not properly managed or transparently reported.",https://sdgs.un.org/partnerships/carbon-neutrality,CarbonNeutrality| Department of Economic and Social Affairs,"For Microsoft, Carbon neutrality refers to achieving net zero carbon emissions by offsetting gross carbon emissions from our operations with an equivalent amount of renewable energy and carbon sequestered or offset."
normalized_claim_34,Microsoft estimates emissions for suppliers who submitted data by multiplying their response-derived factor by the annual spend with the supplier.,UNVERIFIED,MEDIUM,BACKGROUND,The evidence does not directly address the claim about Microsoft's method for estimating supplier emissions. The provided evidence discusses general emission estimation methodologies or broader climate goals without addressing the specific practice claimed.,"While there is no direct contradiction, the evidence suggests that companies like Microsoft face scrutiny over their greenhouse gas accounting practices and methods, which raises concerns about whether their reported practices fully align with accurate environmental impact assessments. This creates a medium risk of greenwashing due to potential methodological issues not being fully addressed.",https://trellis.net/article/report-climate-goals-at-amazon-apple-google-meta-and-microsoft-have-lost-their-meaning/,"Climate goal analysis: Amazon, Apple, Google, Meta and Microsoft",Tech companies’ GHG emissions targets appear to have lost their meaning and relevance.
normalized_claim_6,Microsoft has maintained carbon neutrality every year since FY13.,UNVERIFIED,MEDIUM,BACKGROUND,"The provided evidence does not directly address Microsoft's carbon neutrality claims since FY13. It focuses on broader environmental impacts of AI and carbon credit projects, which do not confirm or contradict the specific claim about yearly carbon neutrality.","Although the evidence is not directly relevant to verifying Microsoft's carbon neutrality status each year since FY13, it provides context regarding the company’s involvement in carbon credits. This raises a medium-level risk of greenwashing if there are discrepancies between such projects and actual carbon emissions reported by the company.",https://carboncredits.com/microsoft-signs-groundbreaking-7mt-carbon-credits-deal-with-u-s-based-chestnut-carbon/,Microsoft Signs Groundbreaking 7MTCarbon Credits Deal with...,"Microsoft, a major buyer of carbon credits, is investing again in forest carbon removal projects. The tech giant has signed a long-term agreement with Chestnut Carbon, based in New York."
normalized_claim_25,"Microsoft’s water inventory includes withdrawal, consumption, and discharge volumes associated with assets under our operational control.",UNVERIFIED,UNCLEAR,UNRELATED,"The provided evidence does not discuss Microsoft or any of the company's water inventory practices. The documents are related to Mueller Water Products, Inc. and a village in Ohio named Pioneer.","Since there is no relevant evidence concerning Microsoft’s specific claim about their water inventory, it is impossible to assess greenwashing risk based on this data alone.",,,
normalized_claim_23,Microsoft procures enough renewable electricity to match 100% of our global electricity consumption.,SUPPORTED,LOW,DIRECT,Evidence directly supports Microsoft's claim of procuring renewable electricity to match 100% of their global electricity consumption.,The evidence does not raise concerns or limitations regarding the claim.,https://parliamentnews.co.uk/microsoft-renewable-energy-strategy-2026,MicrosoftRenewableEnergyStrategy Bold Expansion 2026,The Microsoft renewable energy strategy centers on purchasing renewable energy through long term power agreements that correspond to the company’s total electricity usage. These agreements support new wind and solar projects while offsetting conventional grid electricity.
normalized_claim_8,Microsoft only applies carbon removal credits against its carbon neutral boundary if they have been retired and delivered.,UNVERIFIED,MEDIUM,INDIRECT,"The evidence does not provide enough specific details about Microsoft's policy on applying carbon removal credits against its carbon neutral boundary. While it mentions Microsoft purchasing carbon removal credits, it doesn't specify the conditions under which these are applied.",There is a MEDIUM greenwashing risk as there is insufficient direct evidence to confirm whether Microsoft applies carbon removal credits only if they have been retired and delivered within their carbon neutral boundary. Additional context about the company’s specific policy on this matter would be needed for further verification.,https://www.datacenterdynamics.com/en/news/microsoft-to-purchase-44000-tons-of-carbon-removal-credits-from-biochar-firm-carba/,"Microsoft to purchase 44,000 tons of carbon removal credits",We’re thrilled to contribute to Microsoft’s portfolio by providing high-quality carbon removal credits that will be retired starting in 2025...
normalized_claim_20,We have published the criteria we use to help ensure that the carbon removal credits that we contract are high quality: Microsoft Criteria for High-Quality Carbon Dioxide Removal.,SUPPORTED,LOW,DIRECT,"The evidence confirms that Microsoft is involved in carbon removal credits and mentions the criteria they use to ensure high quality, aligning with the claim.",No significant concerns or contradictions are raised regarding the claim's accuracy. The evidence supports the existence of the company’s criteria for high-quality carbon dioxide removal.,https://www.esgdive.com/news/microsoft-buys-ocean-based-carbon-removal-credits-ebb-carbon/731230/,Microsoftclinches ocean-basedcarbonremovaldeal with... | ESG Dive,"Microsoft contracted the initial removal of 1,333 tonnes of carbon dioxide, with options to purchase an additional 350,000 tonnes over the next 10 years, according to the press release. The agreement is a part of Microsoft’s larger plan to become carbon negative by 2030, which it plans to accomplish through reducing carbon emissions, increasing its use of carbon-free electricity and using such carbon removals, according to the company’s latest environmental sustainability report."
normalized_claim_21,"Microsoft procures renewable energy from on-site generation, unbundled EACs, PPAs, and green power products.",PARTIALLY_SUPPORTED,MEDIUM,DIRECT,"The evidence supports the claim that Microsoft procures renewable energy through PPAs and unbundled EACs, but does not fully confirm on-site generation or green power products.","While the claim is partially supported by direct evidence, there are important limitations regarding specific procurement methods like on-site generation and green power products. The evidence raises concerns about whether Microsoft's renewable energy purchases directly impact local grids.",https://trellis.net/article/microsoft-signs-its-biggest-renewable-energy-contract-yet/,Microsoftsigns its biggestrenewableenergycontract yet | Trellis,"Companies use PPAs to procure the output of new solar or wind installations, which increases the amount of renewable energy available on the electricity grid and allows them to claim emissions reductions. In 2023, corporations announced contracts for 46 gigawatts of solar and wind capacity, an increase of 12 percent over the previous year, according to BloombergNEF research."
normalized_claim_18,This carbon inventory reflects what is in scope for our carbon negative commitment.,UNVERIFIED,MEDIUM,BACKGROUND,The evidence provides background information about Microsoft's carbon initiatives but does not directly confirm or contradict the claim regarding the scope of their carbon inventory.,"The evidence raises concerns about whether Microsoft’s commitment to becoming carbon negative might be compromised due to its focus on AI, which could impact its reported emissions and methodologies. However, this is indirect and does not specifically address the claim's methodology or scope issues.",https://www.readkong.com/page/the-microsoft-carbon-fee-theory-practice-6775317,"The Microsoft carbon fee: theory & practice - The what, why, and how...","You need to have a reliable, accurate inventory of carbon emissions from across your organization to build a successful carbon fee model."
