normalized_claim_id,claim_text,claim_family,final_label,greenwashing_risk_level,evidence_relevance,justification,risk_reasoning,top_evidence_url,top_evidence_title,supporting_excerpt
normalized_claim_72,"Meta’s respect for human rights — and their underlying principles of equality, safety, dignity, privacy and voice — is applied through existing policies across our company, including the Facebook Community Standards, Instagram Community Guidelines, WhatsApp Terms of Service, the Responsible Supply Chain program, Facebook’s Privacy Principles, our Law Enforcement Guidelines, our Data Policy, Responsible AI pillars, and our Diversity and Inclusion practices.",governance_ai,PARTIALLY_CONTRADICTED,HIGH,DIRECT,"Evidence suggests that Meta has not adequately addressed human rights issues, particularly concerning content moderation and over-moderation of Palestine-related content. This contradicts the claim's assertion about comprehensive application of policies.","The evidence highlights specific instances where Meta’s practices fall short, raising concerns about whether their stated commitments are being effectively implemented or merely superficially adhered to, indicating a high risk of greenwashing.",https://www.article19.org/resources/israel-and-palestine-meta-must-uphold-human-rights-obligations/,Israel and Palestine: Meta must uphold human rights responsibilities - ARTICLE 19,"The joint letter follows. Joint Letter Regarding Insufficient Human Rights Due Diligence To Sir Nick Clegg, President of Global Affairs, Meta"
normalized_claim_9,"We are focusing on reducing our Scope 3 emissions, which means radically changing the way we operate and helping our suppliers to set their own climate targets.",environmental,UNVERIFIED,UNCLEAR,UNRELATED,"The evidence does not address the claim about reducing Scope 3 emissions or helping suppliers set climate targets. The provided evidence is related to Meta CEO Mark Zuckerberg's comments on corporate culture and policy changes, which are unrelated to the claim.","Since the evidence is completely unrelated to the CSR claim, there can be no greenwashing risk associated with it.",https://www.businesstoday.in/technology/news/story/meta-ceo-mark-zuckerberg-says-companies-need-more-masculine-energy-criticises-us-president-joe-biden-460513-2025-01-13,MetaCEO Mark Zuckerberg says companies need... - BusinessToday,
normalized_claim_40,"We exceeded our 2020 commitment to annually spend $1 billion with diverse suppliers, including at least $100 million with Black-owned businesses.",governance_ai,SUPPORTED,LOW,DIRECT,"The evidence from the Meta EMEA report directly supports the claim that the company exceeded its 2020 commitment to spend $1 billion annually with diverse suppliers, including at least $100 million specifically with Black-owned businesses.",The article does not provide any specific criticisms or concerns related to the actual spending figures mentioned in the claim. The greenwashing risk is low as there is direct evidence supporting the claim without raising significant caveats or risks.,https://supplychaindigital.com/company-reports/meta-emea-connecting-communities-through-supplier-diversity,MetaEMEA: Connecting communities throughsupplierdiversity,"In 2020, the company announced their public commitment to invest a minimum of US$1bn with diverse-owned suppliers and US$300mn with black-owned businesses. “We surpassed that goal in 2021, with an amazing recorded spend of US$1.4bn globally with diverse-owned companies, and US$306mn with specifically black-owned businesses in the United States.”"
normalized_claim_6,Our global operations reached net zero emissions and are supported by 100% renewable energy.,environmental,UNVERIFIED,MEDIUM,INDIRECT,"The evidence shows that Meta has reached net zero emissions in its global operations but highlights challenges with Scope 3 emissions and the need for carbon removal projects. It also mentions controversy around misleading renewable energy claims, raising concerns about the scope and clarity of such claims.","The indirect nature of the evidence raises context-specific concerns about the broader implications of net zero claims, especially regarding Scope 3 emissions and the use of RECs, which may indicate greenwashing risks.",https://sustainabilitymag.com/net-zero/meta-powers-towards-net-zero-with-carbon-removal-projects,MetaPowers TowardsNetZerowith Carbon... | Sustainability Magazine,"Having already hit net zero emissions in global operations in 2020, the social media giant now has its sustainability sights set on achieving net zero value chain emissions by 2030."
normalized_claim_19,We are committed to creating a culture where we are straightforward and willing to have hard conversations with each other.,governance_ai,UNVERIFIED,MEDIUM,INDIRECT,"The provided evidence indirectly supports the claim by highlighting the company's commitment to internal policies and transparent communication, while also raising concerns about low morale and negative workplace atmosphere.","Evidence raises contextual concerns that may suggest a disconnect between public statements and employee experiences, warranting caution but not outright contradiction.",https://press.farm/metas-employee-relations-internal-policies/,Meta's Employee Relations & Internal Policies,Current internal policies at Meta also include comprehensive guidelines for working virtually and communicating through digital channels that uphold the persistence of a strong company culture even when the people are dispersed. Performance indicators and reinforcing actions.
normalized_claim_7,Our recent investment in Frontier AMC is just one example of our belief that we can do far more for the climate through industry collaborations—and the ways we are working with corporate partners to push for faster advancement of technological carbon removals.,environmental,SUPPORTED,LOW,DIRECT,"The evidence discusses Meta's investment in a forestry-based carbon removal project, which aligns with the claim about industry collaborations for climate advancement.",There is no indication of greenwashing risk as the evidence supports the claim without raising specific concerns or criticisms regarding the actual impact or methodology.,https://www.esgdive.com/news/meta-signs-10-year-forestry-based-carbon-offtake-deal-efm-climate-smart-management/744389/,Metasigns 10-year forestry-based carbon offtake deal | ESG Dive,Meta finalized a 10-year agreement with forest investment and management firm EFM on Monday that will give the social media and tech giant carbon credits as EFM transitions tens of thousands of acres of forests to climate-smart management strategies.
normalized_claim_79,The Human Rights Policy Team is accountable to the Audit Risk and Oversight Committee of the Board of Directors.,governance_ai,UNVERIFIED,MEDIUM,BACKGROUND,"The evidence discusses criticism of Meta's human rights report, but does not mention the specific governance structure or accountability mechanism for the Human Rights Policy Team. It is unrelated to the claim.","Since the evidence relevance is BACKGROUND and there are no direct claims about the corporate governance structure mentioned in the claim text, the greenwashing risk remains at MEDIUM as it only provides context on criticism of human rights reporting practices.",https://www.business-humanrights.org/en/latest-news/india-civil-society-organisations-criticize-metas-human-rights-report-for-failing-to-adequately-address-electoral-integrity/,India: Civil society organisations criticise Meta's human rights report for failing to adequately address electoral integrity,
normalized_claim_2,We’ve expanded our Climate Science Center to reach millions of people around the world with authoritative information about climate change.,environmental,PARTIALLY_CONTRADICTED,MEDIUM,DIRECT,"The evidence indicates that despite the expansion of Facebook's Climate Science Center, climate misinformation is still prevalent and widely viewed on their platform. This partially contradicts the claim about reaching millions with authoritative information.",There is a risk of greenwashing as the company may be overstating its efforts to combat climate misinformation while the evidence suggests otherwise.,https://grist.org/accountability/report-climate-misinformation-facebook-viewed-million-times-daily/,Report:Climatemisinformation on Facebook viewed 1.4million... | Grist,"Reflecting on the shortcomings of the company’s Climate Science Center — launched in September 2020 — Buchan did not mince words. “Either they don’t care or they don’t know how to fix it,” he said in a statement tied to the new report."
normalized_claim_34,We met and exceeded that goal for each of those groups – two years ahead of schedule.,governance_ai,UNVERIFIED,MEDIUM,INDIRECT,"The evidence discusses changes in Meta's diversity programs and their impact, but it does not provide direct confirmation or contradiction of the claim that they met and exceeded goals two years ahead of schedule.","The evidence raises concerns about potential greenwashing due to changes in DEI policies and the company's commitment to diversity. However, since the evidence is not directly addressing the specific metrics mentioned in the original claim, the risk level remains medium.",https://diversity.com/post/meta-dei-rollback-aftermath-updates-2025,Meta’s DEI Rollback: The Aftermath and What’s Changed Since the...,"June 2022: Meta publishes its 2022 Diversity Report, highlighting a 36% increase in Black and Hispanic employees in technical roles since 2019."
normalized_claim_8,We remain committed to leading internal and external discussions and partnerships to drive industry standards and reductions throughout our value chain.,environmental,SUPPORTED,LOW,INDIRECT,"The evidence discusses Meta’s approach to addressing its value chain emissions, which aligns with the claim about commitment to leading discussions and partnerships for industry standards and reductions.",The evidence is not directly contradicting or undermining the claim but rather providing context around similar efforts in a different company. The risk level remains low as there is no direct contradiction or unclear information that might suggest greenwashing.,https://trellis.net/article/metas-value-chain-emissions-are-rising-heres-its-plan-address/,Meta’s valuechainemissionsare rising. Here’s its plan to...,"To address that problem, Meta is embarking on a process to identify emission reductions projects that can halt, if not reverse, increases in its value chain emissions."
