normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_1,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft’s commitment to disclose information about our environmental footprint,commitment,environment,environmental,claim_1,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,"As part of Microsoft’s commitment to disclose information about our environmental footprint, the following sections are a compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Our GHG emissions in accordance with the GHG Protocol,policy,environment,environmental,claim_2,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,Section 1 presents our GHG emissions in accordance with the GHG Protocol and criteria selected or developed by management (“management’s criteria”).,1,LOW,false,too_short_or_low_information,-20,low_information
normalized_claim_3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land",result,environment,environmental,claim_3,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,"the following sections are a compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land.",1,HIGH,false,below_main_analysis_priority_cap,24,water
normalized_claim_4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 1 GHG emissions were 118,100 mtCO2e in FY20 and increased to 143,510 mtCO2e in FY24.",statement,environment,environmental,claim_4,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Scope 1                                           118,100     123,704      139,413     144,960      143,510",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 2 location-based GHG emissions were 4,328,916 mtCO2e in FY20 and increased to 9,955,368 mtCO2e in FY24.",statement,environment,environmental,claim_5,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Location-based                            4,328,916    5,010,667    6,381,250    8,077,403   9,955,368",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 2 market-based GHG emissions were 456,119 mtCO2e in FY20 and decreased to 259,090 mtCO2e in FY24.",statement,environment,environmental,claim_6,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Market-based                                 456,119     429,405     288,029      393,134     259,090",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 1 GHG emissions from Purchased Goods and Services were 4,415,000 mtCO2e in FY20 and decreased to 5,057,000 mtCO2e in FY24.",statement,environment,environmental,claim_7,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 1 – Purchased Goods and         4,415,000   4,930,000    5,164,000   5,564,000    5,057,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_8,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 2 GHG emissions from Capital Goods were 3,105,000 mtCO2e in FY20 and increased to 6,066,000 mtCO2e in FY24.",statement,environment,environmental,claim_8,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 2 – Capital Goods 3,105,000    3,916,000   4,447,000   5,645,000   6,066,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 3 GHG emissions from Fuel- and Energy-Related Activities were 300,000 mtCO2e in FY20 and increased to 653,000 mtCO2e in FY24.",statement,environment,environmental,claim_9,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 3 – Fuel- and Energy-             300,000     350,000     450,000     521,000     653,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 4 GHG emissions from Upstream Transportation and Distribution were 243,000 mtCO2e in FY20 and increased to 419,000 mtCO2e in FY24.",statement,environment,environmental,claim_10; claim_14,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 4 – Upstream Transportation      243,000     225,000     371,000     318,000     419,000 || Category 9 – Downstream                   65,000      69,000      69,000      69,000      43,000",2,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_11,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 5 GHG emissions from Waste Generated in Operations were 9,500 mtCO2e in FY20 and decreased to 8,000 mtCO2e in FY24.",statement,environment,environmental,claim_11,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 5 – Waste Generated                9,500       5,700       8,000       8,000       8,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_12,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 6 GHG emissions from Business Travel were 329,356 mtCO2e in FY20 and decreased to 260,000 mtCO2e in FY24.",statement,environment,environmental,claim_12,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 6 – Business Travel                329,356       21,901     139,000     133,000     260,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_13,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 7 GHG emissions from Employee Commuting were 317,000 mtCO2e in FY20 and increased to 208,000 mtCO2e in FY24.",statement,environment,environmental,claim_13,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 7 – Employee Commuting          317,000      80,000      141,000     187,000     208,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_14,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 11 GHG emissions from Use of Sold Products were 2,983,000 mtCO2e in FY20 and decreased to 2,417,000 mtCO2e in FY24.",statement,environment,environmental,claim_15,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 11 – Use of Sold Products 2,983,000   3,950,000    5,101,000    3,941,000    2,417,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
normalized_claim_15,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 3 Category 12 GHG emissions from End-of-Life Treatment of Sold Products were 17,000 mtCO2e in FY20 and decreased to 3,000 mtCO2e in FY24.",statement,environment,environmental,claim_16,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Category 12 – End-of-Life Treatment of         17,000      19,000      18,000       4,000       3,000",1,HIGH,false,below_main_analysis_priority_cap,-9,scope_3; specific_year; dense_internal_metric_table
