normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_1,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft’s commitment to disclose information about its environmental footprint is reflected in the compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land.",statement,environment,environmental,claim_1,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,"As part of Microsoft’s commitment to disclose information about our environmental footprint, the following sections are a compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land.",1,LOW,false,meta_or_reporting_claim_not_substantive,24,water
normalized_claim_2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Deloitte & Touche LLP performed a review engagement on management’s assertion related to the specified information presented in Section 1 of this Environmental Data Fact Sheet as of and for the fiscal year (FY) ended June 30, 2024 (FY24).",statement,environment,environmental,claim_2,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,"Deloitte & Touche LLP performed a review engagement on management’s assertion related to the specified information presented in Section 1 of this Environmental Data Fact Sheet as of and for the fiscal year (FY) ended June 30, 2024 (FY24)",1,HIGH,false,below_main_analysis_priority_cap,3,specific_year
normalized_claim_3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,All reported values represent the best available data at the time of publication.,statement,environment,environmental,claim_4,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,All reported values represent the best available data at the time of publication.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft’s structural changes policy is to begin including data associated with a merger and/or acquisition in the year following the close of the transaction.,statement,environment,environmental,claim_5,2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p2,Microsoft’s structural changes policy is to begin including data associated with a merger and/or acquisition in the year following the close of the transaction.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 1 GHG emissions increased from 118,100 mtCO2e in FY20 to 143,510 mtCO2e in FY24.",statement,environment,environmental,claim_6; claim_8,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Scope 1                                           118,100     123,704      139,413     144,960      143,510 || Subtotal emissions (Scope 3)4                11,796,000   13,576,000   15,916,000   16,397,000   15,140,000",2,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 2 market-based GHG emissions increased from 456,119 mtCO2e in FY20 to 259,090 mtCO2e in FY24.",statement,environment,environmental,claim_7,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Market-based                                 456,119     429,405     288,029      393,134     259,090",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's total GHG emissions (Scope 1 + 2 + 3) increased from 12,370,000 mtCO2e in FY20 to 15,543,000 mtCO2e in FY24.",statement,environment,environmental,claim_9,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Total emissions (Scope 1 + 2 + 3)4            12,370,000   14,129,000  16,343,000   16,935,000  15,543,000",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-27,specific_year; dense_internal_metric_table
normalized_claim_10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's total energy consumption increased from 11,283,502 MWh in FY20 to 30,207,220 MWh in FY24.",statement,energy,environmental,claim_18,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,"Total energy consumption1               11,283,502    14,133,987   18,644,872   24,007,868   30,207,220",1,HIGH,false,below_main_analysis_priority_cap,3,specific_year
normalized_claim_11,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft's percentage of renewable electricity consumption remained at 100% from FY20 to FY24.,statement,energy,environmental,claim_19,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,Percentage of renewable electricity 100          100          100          100         100,1,HIGH,false,below_main_analysis_priority_cap,30,renewable_electricity; absolute_100_percent_claim; specific_year; specific_percentage; internal_renewable_percentage_table
normalized_claim_12,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"In FY24, Microsoft's total water withdrawals were 10,377 ML and the majority (46%) came from areas with water stress.",statement,water,environmental,claim_20,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,"Total water withdrawals 7,936       8,068       10,706        12,951       10,377",1,HIGH,false,below_main_analysis_priority_cap,30,water; specific_year; specific_percentage
