normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_60,doc_3_2021-tesla-impact-report,Tesla 2021 Impact Report,"We must also improve every metric, including the energy and water used to make our products, how safe our customers and employees are and the affordability and accessibility of our products.",statement,environment,environmental,claim_74,7,doc_3_2021-tesla-impact-report:p7,"We must also improve every metric, including the energy and water used to make our products, how safe our customers and employees are and the affordability and accessibility of our products.",1,HIGH,true,,24,water
normalized_claim_4,doc_1_2020-dei-impact-report,2020 DEI impact report,"We reaffirm our commitment to Diversity, Equity and Inclusion (DEI).",statement,ethics,governance_ai,claim_4,2,doc_1_2020-dei-impact-report:p2,"We reaffirm our commitment to Diversity, Equity and Inclusion (DEI).",1,HIGH,true,,36,diversity; inclusion
normalized_claim_35,doc_2_2020-uk-modern-slavery-act-transparency-statement,Microsoft Word - FY20 UK Modern Slavery Act Transparency Statement - Final.docx,Tesla’s Human Rights and Conflict Minerals Policy sets out our approach to this matter and is applied throughout the company and across our global supply chain.,statement,supply_chain,environmental,claim_39,2,doc_2_2020-uk-modern-slavery-act-transparency-statement:p2,Tesla’s Human Rights and Conflict Minerals Policy sets out our approach to this matter and is applied throughout the company and across our global supply chain.,1,HIGH,true,,52,supply_chain; human_rights
normalized_claim_44,doc_2_2020-uk-modern-slavery-act-transparency-statement,Microsoft Word - FY20 UK Modern Slavery Act Transparency Statement - Final.docx,This statement sets out our evaluation of risks of modern slavery in our business and the actions taken during the financial year to address these risks and prevent modern slavery and human trafficking in our operations and supply chains.,statement,ethics,governance_ai,claim_48,5,doc_2_2020-uk-modern-slavery-act-transparency-statement:p5,This statement sets out our evaluation of risks of modern slavery in our business and the actions taken during the financial year to address these risks and prevent modern slavery and human trafficking in our operations and supply chains.,1,HIGH,true,,26,supply_chain
normalized_claim_58,doc_3_2021-tesla-impact-report,Tesla 2021 Impact Report,Tesla solar panels have generated more electricity than has been consumed by our vehicles and factories between 2012 and 2021.,statement,environment,environmental,claim_66,5,doc_3_2021-tesla-impact-report:p5,Tesla solar panels have generated more electricity than has been consumed by our vehicles and factories between 2012 and 2021,1,HIGH,true,,3,specific_year
normalized_claim_67,doc_3_2021-tesla-impact-report,Tesla 2021 Impact Report,We both develop the technology behind this ecosystem and focus on the affordability of the products that comprise it.,commitment,social_impact,governance_ai,claim_82,9,doc_3_2021-tesla-impact-report:p9,We both develop the technology behind this ecosystem and focus on the affordability of the products that comprise it.,1,HIGH,true,,0,generic_medium_value
normalized_claim_40,doc_2_2020-uk-modern-slavery-act-transparency-statement,Microsoft Word - FY20 UK Modern Slavery Act Transparency Statement - Final.docx,"Tesla implements appropriate disciplinary action, including potential termination of contract, for those suppliers who do not comply with our Human Rights and Conflict Minerals Policy.",policy,supply_chain,environmental,claim_44,4,doc_2_2020-uk-modern-slavery-act-transparency-statement:p4,"Where necessary, we implement appropriate disciplinary action, including potential termination of contract, for those suppliers who do not comply with our Human Rights and Conflict Minerals Policy.",1,HIGH,true,,50,supplier; human_rights
normalized_claim_10,doc_1_2020-dei-impact-report,2020 DEI impact report,"Focus on sustainable solutions that solve problems at the root cause and reimagine new programs with diversity, equity and inclusion principles embedded in the design.",policy,social_impact,governance_ai,claim_11,5,doc_1_2020-dei-impact-report:p5,"Focus on sustainable solutions that solve problems at the root cause and reimagine new programs with diversity, equity and inclusion principles embedded in the design.",1,HIGH,true,,36,diversity; inclusion
normalized_claim_65,doc_3_2021-tesla-impact-report,Tesla 2021 Impact Report,And the world cannot address its energy habits without first directly reducing emissions in the transportation and energy sectors.,statement,climate,environmental,claim_80,9,doc_3_2021-tesla-impact-report:p9,And the world cannot address its energy habits without first directly reducing emissions in the transportation and energy sectors.,1,HIGH,true,,0,generic_medium_value
normalized_claim_32,doc_2_2020-uk-modern-slavery-act-transparency-statement,Microsoft Word - FY20 UK Modern Slavery Act Transparency Statement - Final.docx,All of our recruitment procedures comply with the relevant local regulations and standards; we adopt a fair and equitable approach when scouting for talent; and all wages are compliant with local laws and regulations.,statement,labor,governance_ai,claim_36,2,doc_2_2020-uk-modern-slavery-act-transparency-statement:p2,All of our recruitment procedures comply with the relevant local regulations and standards; we adopt a fair and equitable approach when scouting for talent; and all wages are compliant with local laws and regulations.,1,HIGH,true,,0,generic_medium_value
