normalized_claim_id,claim_text,claim_family,document_id,document_name,page_numbers,source_locations,source_excerpts,final_label,greenwashing_risk_level,evidence_relevance,justification,risk_reasoning,top_evidence_url,top_evidence_title,materiality_score,judgment_score,stance
normalized_claim_72,"Meta’s respect for human rights — and their underlying principles of equality, safety, dignity, privacy and voice — is applied through existing policies across our company, including the Facebook Community Standards, Instagram Community Guidelines, WhatsApp Terms of Service, the Responsible Supply Chain program, Facebook’s Privacy Principles, our Law Enforcement Guidelines, our Data Policy, Responsible AI pillars, and our Diversity and Inclusion practices.",governance_ai,doc_4_meta_human-rights-report-july-2022,Meta Human Rights Report July 2022,8,doc_4_meta_human-rights-report-july-2022:p8,"Meta’s respect for human rights — and their underlying principles of equality, safety, dignity, privacy and voice — is applied through existing policies across our company, including the Facebook Community Standards, Instagram Community Guidelines, WhatsApp Terms of Service, the Responsible Supply Chain program, Facebook’s Privacy Principles, our Law Enforcement Guidelines, our Data Policy, Responsible AI pillars, and our Diversity and Inclusion practices, among other policies.",PARTIALLY_CONTRADICTED,HIGH,DIRECT,"Evidence suggests that Meta has not adequately addressed human rights issues, particularly concerning content moderation and over-moderation of Palestine-related content. This contradicts the claim's assertion about comprehensive application of policies.","The evidence highlights specific instances where Meta’s practices fall short, raising concerns about whether their stated commitments are being effectively implemented or merely superficially adhered to, indicating a high risk of greenwashing.",https://www.article19.org/resources/israel-and-palestine-meta-must-uphold-human-rights-obligations/,Israel and Palestine: Meta must uphold human rights responsibilities - ARTICLE 19,0.45,-2.15,concern
normalized_claim_9,"We are focusing on reducing our Scope 3 emissions, which means radically changing the way we operate and helping our suppliers to set their own climate targets.",environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,7,doc_2_meta-2021-sustainability-report:p7,"We are focusing on reducing our Scope 3 emissions, which means radically changing the way we operate and helping our suppliers to set their own climate targets.",UNVERIFIED,UNCLEAR,UNRELATED,"The evidence does not address the claim about reducing Scope 3 emissions or helping suppliers set climate targets. The provided evidence is related to Meta CEO Mark Zuckerberg's comments on corporate culture and policy changes, which are unrelated to the claim.","Since the evidence is completely unrelated to the CSR claim, there can be no greenwashing risk associated with it.",https://www.businesstoday.in/technology/news/story/meta-ceo-mark-zuckerberg-says-companies-need-more-masculine-energy-criticises-us-president-joe-biden-460513-2025-01-13,MetaCEO Mark Zuckerberg says companies need... - BusinessToday,1.25,0.05,uncertain
normalized_claim_40,"We exceeded our 2020 commitment to annually spend $1 billion with diverse suppliers, including at least $100 million with Black-owned businesses.",governance_ai,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,7,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p7,"We exceeded our 2020 commitment to annually spend $1 billion with diverse suppliers, including at least $100 million with Black-owned businesses.",SUPPORTED,LOW,DIRECT,"The evidence from the Meta EMEA report directly supports the claim that the company exceeded its 2020 commitment to spend $1 billion annually with diverse suppliers, including at least $100 million specifically with Black-owned businesses.",The article does not provide any specific criticisms or concerns related to the actual spending figures mentioned in the claim. The greenwashing risk is low as there is direct evidence supporting the claim without raising significant caveats or risks.,https://supplychaindigital.com/company-reports/meta-emea-connecting-communities-through-supplier-diversity,MetaEMEA: Connecting communities throughsupplierdiversity,0.45,3.55,support
normalized_claim_6,Our global operations reached net zero emissions and are supported by 100% renewable energy.,environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,5,doc_2_meta-2021-sustainability-report:p5,"As of 2020, our global operations reached net zero emissions and are supported by 100% renewable energy.",UNVERIFIED,MEDIUM,INDIRECT,"The evidence shows that Meta has reached net zero emissions in its global operations but highlights challenges with Scope 3 emissions and the need for carbon removal projects. It also mentions controversy around misleading renewable energy claims, raising concerns about the scope and clarity of such claims.","The indirect nature of the evidence raises context-specific concerns about the broader implications of net zero claims, especially regarding Scope 3 emissions and the use of RECs, which may indicate greenwashing risks.",https://sustainabilitymag.com/net-zero/meta-powers-towards-net-zero-with-carbon-removal-projects,MetaPowers TowardsNetZerowith Carbon... | Sustainability Magazine,1.5,0.95,uncertain
normalized_claim_19,We are committed to creating a culture where we are straightforward and willing to have hard conversations with each other.,governance_ai,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,10,doc_2_meta-2021-sustainability-report:p10,Your Colleagues is about creating a culture where we are straightforward and willing to have hard conversations with each other.,UNVERIFIED,MEDIUM,INDIRECT,"The provided evidence indirectly supports the claim by highlighting the company's commitment to internal policies and transparent communication, while also raising concerns about low morale and negative workplace atmosphere.","Evidence raises contextual concerns that may suggest a disconnect between public statements and employee experiences, warranting caution but not outright contradiction.",https://press.farm/metas-employee-relations-internal-policies/,Meta's Employee Relations & Internal Policies,0.45,-0.1,uncertain
normalized_claim_7,Our recent investment in Frontier AMC is just one example of our belief that we can do far more for the climate through industry collaborations—and the ways we are working with corporate partners to push for faster advancement of technological carbon removals.,environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,6,doc_2_meta-2021-sustainability-report:p6,Our recent investment in Frontier AMC is just one example of our belief that we can do far more for the climate through industry collaborations—and the ways we are working with corporate partners to push for faster advancement of technological carbon removals.,SUPPORTED,LOW,DIRECT,"The evidence discusses Meta's investment in a forestry-based carbon removal project, which aligns with the claim about industry collaborations for climate advancement.",There is no indication of greenwashing risk as the evidence supports the claim without raising specific concerns or criticisms regarding the actual impact or methodology.,https://www.esgdive.com/news/meta-signs-10-year-forestry-based-carbon-offtake-deal-efm-climate-smart-management/744389/,Metasigns 10-year forestry-based carbon offtake deal | ESG Dive,1.25,4.35,support
normalized_claim_79,The Human Rights Policy Team is accountable to the Audit Risk and Oversight Committee of the Board of Directors.,governance_ai,doc_4_meta_human-rights-report-july-2022,Meta Human Rights Report July 2022,9,doc_4_meta_human-rights-report-july-2022:p9,The Team is accountable to the Audit Risk and Oversight Committee of the Board of Directors.,UNVERIFIED,MEDIUM,BACKGROUND,"The evidence discusses criticism of Meta's human rights report, but does not mention the specific governance structure or accountability mechanism for the Human Rights Policy Team. It is unrelated to the claim.","Since the evidence relevance is BACKGROUND and there are no direct claims about the corporate governance structure mentioned in the claim text, the greenwashing risk remains at MEDIUM as it only provides context on criticism of human rights reporting practices.",https://www.business-humanrights.org/en/latest-news/india-civil-society-organisations-criticize-metas-human-rights-report-for-failing-to-adequately-address-electoral-integrity/,India: Civil society organisations criticise Meta's human rights report for failing to adequately address electoral integrity,0.0,-1.2,uncertain
normalized_claim_2,We’ve expanded our Climate Science Center to reach millions of people around the world with authoritative information about climate change.,environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,4,doc_2_meta-2021-sustainability-report:p4,We’ve expanded our Climate Science Center to reach millions of people around the world with authoritative information about climate change.,PARTIALLY_CONTRADICTED,MEDIUM,DIRECT,"The evidence indicates that despite the expansion of Facebook's Climate Science Center, climate misinformation is still prevalent and widely viewed on their platform. This partially contradicts the claim about reaching millions with authoritative information.",There is a risk of greenwashing as the company may be overstating its efforts to combat climate misinformation while the evidence suggests otherwise.,https://grist.org/accountability/report-climate-misinformation-facebook-viewed-million-times-daily/,Report:Climatemisinformation on Facebook viewed 1.4million... | Grist,0.8,-0.8,concern
normalized_claim_34,We met and exceeded that goal for each of those groups – two years ahead of schedule.,governance_ai,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,6,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p6,We met and exceeded that goal for each of those groups – two years ahead of schedule,UNVERIFIED,MEDIUM,INDIRECT,"The evidence discusses changes in Meta's diversity programs and their impact, but it does not provide direct confirmation or contradiction of the claim that they met and exceeded goals two years ahead of schedule.","The evidence raises concerns about potential greenwashing due to changes in DEI policies and the company's commitment to diversity. However, since the evidence is not directly addressing the specific metrics mentioned in the original claim, the risk level remains medium.",https://diversity.com/post/meta-dei-rollback-aftermath-updates-2025,Meta’s DEI Rollback: The Aftermath and What’s Changed Since the...,0.45,-0.1,uncertain
normalized_claim_8,We remain committed to leading internal and external discussions and partnerships to drive industry standards and reductions throughout our value chain.,environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,6,doc_2_meta-2021-sustainability-report:p6,We remain committed to leading internal and external discussions and partnerships to drive industry standards and reductions throughout our value chain.,SUPPORTED,LOW,INDIRECT,"The evidence discusses Meta’s approach to addressing its value chain emissions, which aligns with the claim about commitment to leading discussions and partnerships for industry standards and reductions.",The evidence is not directly contradicting or undermining the claim but rather providing context around similar efforts in a different company. The risk level remains low as there is no direct contradiction or unclear information that might suggest greenwashing.,https://trellis.net/article/metas-value-chain-emissions-are-rising-heres-its-plan-address/,Meta’s valuechainemissionsare rising. Here’s its plan to...,0.8,3.25,support
normalized_claim_3,We’re committed to upholding the UN Global Compact’s Ten Principles and advancing the Sustainable Development Goals.,governance_ai,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,4,doc_2_meta-2021-sustainability-report:p4,We’re committed to upholding the UN Global Compact’s Ten Principles and advancing the Sustainable Development Goals.,SUPPORTED,MEDIUM,INDIRECT,"The evidence highlights Meta's commitment to the UN SDGs through various initiatives, supporting the claim of their commitment.","Evidence includes both positive and critical aspects, raising context about potential engagement issues and design flaws in social media platforms. This raises some caution but does not directly contradict the claim.",https://tejaswinisamanta.github.io/assets/White-paper-META.pdf,Tejaswini Samanta -META,0.0,1.65,support
normalized_claim_15,"1,200+ companies have set science-based targets in line with net zero emissions.",environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,8,doc_2_meta-2021-sustainability-report:p8,"1,200+ companies have set science-based targets in line with net zero emissions.",UNVERIFIED,UNCLEAR,UNRELATED,The provided evidence does not address the claim about companies setting science-based targets in line with net zero emissions. The evidence is unrelated to the topic of climate change or corporate environmental goals.,"Since the evidence is completely unrelated, it neither supports nor contradicts the claim and therefore poses no specific greenwashing risk.",https://www.business-humanrights.org/en/latest-news/meta-allegedly-targeted-ads-at-teens-based-on-their-emotional-state/,Metaallegedlytargetedads at teensbasedon their emotional state...,0.8,-0.4,uncertain
normalized_claim_73,"We endeavor to assess human rights impacts that may be linked directly to Meta, take appropriate action and implement findings, monitor implementation, and report annually on “relevant insights” and “actions” under UNGP 21 as defined in our Corporate Human Rights Policy.",governance_ai,doc_4_meta_human-rights-report-july-2022,Meta Human Rights Report July 2022,8,doc_4_meta_human-rights-report-july-2022:p8,"We endeavor to assess human rights impacts that may be linked directly to Meta, take appropriate action and implement findings, monitor implementation, and report annually on “relevant insights” and “actions” under UNGP 21 as defined in our Corporate Human Rights Policy.",PARTIALLY_CONTRADICTED,HIGH,DIRECT,"The evidence suggests that Meta has not been fully transparent in releasing human rights impact assessments, which contradicts the claim of taking appropriate action and implementing findings under UNGP 21.","Evidence indicates delays or withholding of reports due to security concerns rather than substantive implementation, raising serious transparency issues.",https://www.article19.org/resources/meta-transparency-human-rights-india-palestine/,Meta: Transparency vital for protecting human rights in... - ARTICLE 19,0.0,-2.6,concern
normalized_claim_14,We are working to support lower-emissions solutions across our business.,environmental,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,8,doc_2_meta-2021-sustainability-report:p8,We are working to support lower-emissions solutions across our business.,UNVERIFIED,MEDIUM,INDIRECT,"The evidence suggests that Meta has removed sections related to climate action from its sustainability webpage, which contradicts the claim of working towards lower-emissions solutions. However, it does not provide enough context about current actions or policies.","While there is concern about a potential shift in climate stance due to policy changes, the evidence only provides partial information and does not fully contradict the ongoing efforts for climate action.",https://earth.org/these-companies-are-backtracking-on-climate-in-bow-to-conservatives/,These Companies Are Aligning with Trump's Anti-Climate Agenda,0.8,0.25,uncertain
normalized_claim_35,"People with disabilities now represent 6.2% of our U.S. workforce, up from 4.7% in 2021.",governance_ai,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,6,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p6,"People with disabilities now represent 6.2% of our U.S. workforce, up from 4.7% in 2021.",UNVERIFIED,MEDIUM,BACKGROUND,"The provided evidence does not directly address the claim about disability workforce representation. It discusses changes to DEI programs and employee protests, which do not provide relevant data or insights into disabled employees' representation.","While there is no direct contradiction to the claim, the general context of terminating DEI initiatives may raise concerns about potential lack of transparency in related efforts, including disability hiring practices.",https://www.theguardian.com/us-news/2025/jan/10/meta-ending-dei-program,Metaterminates its DEI programs days before Trump... | The Guardian,0.0,-1.2,uncertain
