claim_id,document_id,document_name,document_path,page_number,claim_text,claim_type,is_verifiable,claim_quality_score,is_reporting_claim,topic,is_future,source_excerpt
claim_10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's total emissions (Scope 1 + 2 + 3) for FY24 are projected to be 14,857,000 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Total emissions (Scope 1 + 2 + 3) 14,857,000"
claim_11,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's Scope 1 and 2 emissions for FY24 are projected to be 402,600 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Scope 1 + 2 402,600"
claim_12,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's Scope 2 emissions for FY24 are projected to be 9,904,643 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Scope 2 (location-based) (mtCO e) 9,904,643"
claim_13,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's Scope 1 emissions for FY24 are projected to be 82,872 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Scope 1 (mtCO e) 82,872"
claim_14,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's Scope 2 emissions for FY24 are projected to be 259,090 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Scope 2 (market-based) (mtCO e) 259,090"
claim_27,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,8,Microsoft aims to be carbon negative by 2030 and remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975.,statement,True,4,False,climate,True,Microsoft announced in January 2020 that we aim to be carbon negative by 2030 and that by 2050 we aim to remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975.
claim_28,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,8,"Microsoft plans to reduce its Scope 1 and 2 (market-based) emissions to near zero by increasing energy efficiency, decarbonizing operations, and reaching 100% direct renewable electricity by 2025.",statement,True,4,False,climate,True,"We plan to achieve this commitment by reducing our Scope 1 and 2 (market-based) emissions to near zero by increasing energy efficiency, decarbonizing operations, and reaching 100% direct renewable electricity by 2025"
claim_29,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,8,Microsoft aims to reduce its Scope 3 emissions (market-based and management’s criteria) by more than half by 2030.,statement,True,4,False,climate,True,and reducing Scope 3 emissions (market-based and management’s criteria) by more than half by 2030.
claim_34,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,9,Microsoft aims to have 100% direct renewable electricity by 2025.,commitment,True,4,False,environment,True,"Microsoft captures the impact from on-site generation, PPAs, and green power products to support our progress against our target to have 100% direct renewable electricity by 2025."
claim_36,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,9,Microsoft aims to make fully recyclable product packaging by 2030 and eliminate single-use plastics in product packaging by the end of 2025.,commitment,True,4,False,environment,True,"Similarly, these metrics support our product packaging targets: to make fully recyclable product packaging by 2030 and to eliminate single-use plastics in product packaging by the end of 2025."
