normalized_claim_id,claim_text,claim_family,document_id,document_name,page_numbers,source_locations,source_excerpts,final_label,greenwashing_risk_level,evidence_relevance,justification,risk_reasoning,top_evidence_url,top_evidence_title,materiality_score,judgment_score,stance
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,3,doc_1_global-human-rights-principles:p3,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,UNVERIFIED,MEDIUM,INDIRECT,"The evidence highlights Amazon's commitment to human rights but also points out areas where it falls short, particularly in its supply chain and marketplace model.","Evidence raises concerns about Amazon's actual practices and adherence to its commitments, suggesting potential gaps that could be exploited for greenwashing purposes.",https://globalrightscompliance.org/legal-opinion-on-the-responsibility-of-amazon-with-respect-to-human-rights-due-diligence-over-third-party-supply-chains/,Legal Opinion on the Responsibility of Amazon with Respect to Human Rights due Diligence Over Third-Party Supply Chains,0.45,-0.1,uncertain
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",UNVERIFIED,MEDIUM,INDIRECT,"Evidence shows Amazon suppliers linked to forced labor in Xinjiang, which contradicts the claim that all suppliers must respect human rights.","The evidence highlights a significant issue with respect to human rights violations by Amazon’s suppliers, raising serious concerns about the company's commitment and practices related to its CSR claims. This creates a high risk of greenwashing due to discrepancies between public statements and reality.",https://www.hoover.org/research/articles-xinjiang-amazon-suppliers-human-rights-uyghur-and-solar-panels,"Articles On: Xinjiang,AmazonSuppliers,HumanRights, Uyghur, and...",0.45,-0.1,uncertain
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",UNVERIFIED,MEDIUM,INDIRECT,"Evidence shows that organizations are conducting human rights impact assessments, but does not directly confirm the specific actions of the company making the claim.","The evidence raises contextual risks regarding the effectiveness and implementation of such claims in practice, suggesting a need for caution.",https://materiality.pl/en/services/consulting/human-rights-impact-assessment/,HumanRightsImpactAssessment- MATERIALITY,0.0,-0.55,uncertain
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,UNVERIFIED,MEDIUM,INDIRECT,The evidence does not directly address the claim regarding a human rights officer and team at the company. It discusses supply chain issues related to environmental and human rights abuses but does not mention specific actions or roles within the corporation.,"While the evidence highlights significant concerns about corporate responsibility, it is not sufficiently detailed to either support or contradict the specific claim regarding internal organizational structure and practices. The indirect relevance suggests a medium risk level due to context-related caution.",https://www.commondreams.org/news/wyden-lear-amazon-deforestation-forced-labor,Wyden Asks US Corporation About Possible Ties to Amazon Deforestation and Forced Labor,0.45,-0.1,uncertain
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",UNVERIFIED,MEDIUM,INDIRECT,"The evidence from 'How Amazon is Using AI to Identify Human Rights Risks' indicates that Amazon has developed processes for identifying human rights risks and engaging with stakeholders, which aligns partially with the claim. However, there are no direct statements confirming the exact process described in the claim.","While there is evidence supporting some aspects of the claim regarding stakeholder engagement and risk assessment, it does not directly confirm all specifics mentioned in the claim text, raising caution about the completeness or accuracy of the described process.",https://sustainabilitymag.com/news/how-amazon-is-using-ai-to-identify-human-rights-risks,How Amazon is Using AI to Identify Human Rights Risks,0.0,-0.55,uncertain
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,UNVERIFIED,MEDIUM,INDIRECT,"The evidence shows that Amazon's board of directors recommends voting against a proposal for a human rights risk assessment, suggesting resistance to such an assessment despite claiming continuous improvement in understanding and addressing these risks.",The company’s recommendation to vote against a shareholder resolution aimed at improving human rights risk management raises concerns about the sincerity of their commitment. This indicates potential greenwashing risk.,https://www.business-humanrights.org/en/latest-news/amazon-board-of-directors-urges-shareholders-to-vote-against-shareholder-resolution-calling-for-human-rights-risk-assessment/,Amazon board of directors urges shareholders to vote against shareholder resolution calling for human rights risk assessment,0.0,-0.55,uncertain
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,UNVERIFIED,MEDIUM,INDIRECT,"The provided evidence does not directly address Amazon's Supply Chain Standards regarding labor standards and working conditions. The case study focuses on supply chain metrics, partnerships, and technology. Evidence 2 mentions labor issues but does not provide details of the specific supply chain policies or standards.",Evidence indirectly suggests potential concerns about labor practices without providing direct information on the claim's policy content.,https://www.slideshare.net/slideshow/casestudyonamazonsupplychainmetricpptx/254980832,Case_Study_on_Amazon_Supply_Chain_Metric.pptx,0.45,-0.1,uncertain
normalized_claim_12,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,3,doc_1_global-human-rights-principles:p3,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",UNVERIFIED,MEDIUM,BACKGROUND,"The evidence discusses the relationship between the private sector and state in China regarding AI technology, which is not directly related to the claim about engagement with external stakeholders for human rights due diligence.",The article provides background on issues related to human rights and AI but does not address the specific claim or provide direct evidence that contradicts it. The relevance of the context suggests a medium risk level.,https://www.apc.org/en/blog/chinese-lesson-human-rights-approach-ai,The Chinese lesson on thehumanrightsapproachto AI,0.0,-1.2,uncertain
normalized_claim_1,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"At Amazon, we are committed to providing products and services that are produced or supplied in a way that respects human rights and the environment and protects the fundamental dignity of workers.",UNVERIFIED,MEDIUM,INDIRECT,"The evidence highlights a controversial business decision by Amazon to sign a contract with the Israeli government, which some employees view as complicit in human rights violations. This raises concerns about Amazon's commitment to respecting human rights, but it does not directly contradict the claim.","While the evidence suggests potential issues with Amazon’s adherence to its CSR claims regarding human rights, the indirect nature of this evidence and lack of direct contradiction means the risk is elevated but not severe.",https://www.theverge.com/2021/5/25/22453784/amazon-employees-support-palestine-sever-business-contracts,Hundreds ofAmazonemployees call for Jeff Bezos and... | The Verge,0.45,-0.1,uncertain
normalized_claim_11,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,3,doc_1_global-human-rights-principles:p3,We work with suppliers on appropriate remediation measures and offer partnerships and programs to help them address risks and invest in worker well-being.,UNVERIFIED,MEDIUM,INDIRECT,"The evidence provides guidance for suppliers but does not directly confirm or contradict the claim about remediation measures and partnerships. However, it suggests that Amazon has standards in place.","Evidence from critical sources raises concerns about how Amazon handles internal criticism, which may impact the credibility of their external claims regarding supplier support.",https://d39w7f4ix9f5s9.cloudfront.net/ba/73/23a785f24c809ee05445d5ab623f/supplier-manual-5sep2019-final.pdf,AmazonSupplyChain Standards Manual,0.45,-0.1,uncertain
normalized_claim_9,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"Within Amazon’s own operations, we deploy a variety of mechanisms to conduct due diligence, assessing and responding to risks across the company.",SUPPORTED,LOW,DIRECT,"Evidence directly supports the claim by showing that Amazon uses AI and ML to identify potential human rights issues, flagging high-risk supplier sites and improving due diligence processes.",The evidence does not raise significant concerns about greenwashing; it primarily highlights positive actions taken by Amazon in line with their CSR commitments.,https://aimagazine.com/news/how-amazon-uses-ai-to-strengthen-human-rights-due-diligence,HowAmazonUses AI to Strengthen Human Rights Due Diligence,0.45,3.55,support
normalized_claim_5,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars.,governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,Our approach to deliver on these commitments is aligned to the UNGPs and has five pillars:,UNVERIFIED,MEDIUM,BACKGROUND,"The provided evidence does not directly address the specific claim about the alignment of the approach to deliver on commitments with UNGPs and its five pillars. The evidence discusses AI incidents and platforms, which is not relevant to the human rights commitment framework.",The evidence provides general information about AI governance but does not provide context that could indicate greenwashing risk specific to the claim's scope or methodology.,https://kylebeyke.com/amazon-ai-incidents-lessons-business/,7AmazonAIIncidents Lessons for Business | kyle beyke .com,0.45,-0.75,uncertain
normalized_claim_10,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations.",governance_ai,doc_1_global-human-rights-principles,Amazon Global Human Rights Principles 2025,2,doc_1_global-human-rights-principles:p2,"We assess and respond to risk by leveraging internal and external data and guidance from stakeholders, including industry experts, civil society groups, and nongovernmental organizations.",UNVERIFIED,MEDIUM,INDIRECT,"The evidence discusses governance concerns raised by Amazon employees, which is indirectly related to the claim's assertion about risk assessment and stakeholder guidance. However, it does not provide direct evidence of the company's practices but raises questions about adequacy.","Evidence highlights potential risks from AI governance gaps at a major tech firm, raising concerns about how companies assess and respond to such risks, which could indicate greenwashing if claims are overly optimistic without addressing these issues.",https://encorp.ai/en/blog/amazon-ai-governance-workers-warning-2025-11-26,AmazonWorkers Warn:AIGovernanceatAmazonUnder... | encorp.ai,0.0,-0.55,uncertain
