claim_id,document_id,document_name,document_path,page_number,claim_text,claim_type,is_verifiable,claim_quality_score,is_reporting_claim,topic,is_future,source_excerpt
claim_1,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,2,"Microsoft’s commitment to disclose information about its environmental footprint is reflected in the compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land.",statement,True,3,False,environment,False,"As part of Microsoft’s commitment to disclose information about our environmental footprint, the following sections are a compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularity, and land."
claim_2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,2,"Deloitte & Touche LLP performed a review engagement on management’s assertion related to the specified information presented in Section 1 of this Environmental Data Fact Sheet as of and for the fiscal year (FY) ended June 30, 2024 (FY24).",statement,True,3,False,environment,False,"Deloitte & Touche LLP performed a review engagement on management’s assertion related to the specified information presented in Section 1 of this Environmental Data Fact Sheet as of and for the fiscal year (FY) ended June 30, 2024 (FY24)"
claim_4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,2,All reported values represent the best available data at the time of publication.,statement,True,3,False,environment,False,All reported values represent the best available data at the time of publication.
claim_5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,2,Microsoft’s structural changes policy is to begin including data associated with a merger and/or acquisition in the year following the close of the transaction.,statement,True,3,False,environment,False,Microsoft’s structural changes policy is to begin including data associated with a merger and/or acquisition in the year following the close of the transaction.
claim_6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,3,"Microsoft's Scope 1 GHG emissions increased from 118,100 mtCO2e in FY20 to 143,510 mtCO2e in FY24.",statement,True,4,False,environment,False,"Scope 1                                           118,100     123,704      139,413     144,960      143,510"
claim_7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,3,"Microsoft's Scope 2 market-based GHG emissions increased from 456,119 mtCO2e in FY20 to 259,090 mtCO2e in FY24.",statement,True,4,False,environment,False,"Market-based                                 456,119     429,405     288,029      393,134     259,090"
claim_8,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,3,"Microsoft's Scope 3 GHG emissions increased from 11,796,000 mtCO2e in FY20 to 15,140,000 mtCO2e in FY24.",statement,True,4,False,environment,False,"Subtotal emissions (Scope 3)4                11,796,000   13,576,000   15,916,000   16,397,000   15,140,000"
claim_9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,3,"Microsoft's total GHG emissions (Scope 1 + 2 + 3) increased from 12,370,000 mtCO2e in FY20 to 15,543,000 mtCO2e in FY24.",statement,True,4,False,environment,False,"Total emissions (Scope 1 + 2 + 3)4            12,370,000   14,129,000  16,343,000   16,935,000  15,543,000"
claim_10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's total emissions (Scope 1 + 2 + 3) for FY24 are projected to be 14,857,000 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Total emissions (Scope 1 + 2 + 3) 14,857,000"
claim_11,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,C:\Users\teore\Documents\csr-system\data\raw\microsoft\2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,4,"Microsoft's Scope 1 and 2 emissions for FY24 are projected to be 402,600 metric tons of carbon dioxide equivalent.",statement,True,3,False,environment,True,"Scope 1 + 2 402,600"
