normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,claim_family,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_1,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,We’ve achieved net zero emissions in our global operations.,statement,climate,environmental,claim_3,4,doc_2_meta-2021-sustainability-report:p4,We’ve achieved net zero emissions in our global operations,1,LOW,false,too_short_or_low_information,-20,low_information
normalized_claim_4,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,We’ve also committed to the UN Guiding Principles on Business and Human Rights.,commitment,human_rights,governance_ai,claim_8,4,doc_2_meta-2021-sustainability-report:p4,We’ve also committed to the UN Guiding Principles on Business and Human Rights.,1,HIGH,false,below_main_analysis_priority_cap,26,human_rights
normalized_claim_5,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,"We’re collaborating with others across industry, nonprofit, academia, and government to combine forces for greater impact.",statement,governance,governance_ai,claim_9,4,doc_2_meta-2021-sustainability-report:p4,"We’re collaborating with others across industry, nonprofit, academia, and government to combine forces for greater impact.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_10,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,"At Meta, we are committed to building tools that make choosing to connect virtually easier than ever.",statement,social_impact,governance_ai,claim_20,7,doc_2_meta-2021-sustainability-report:p7,"At Meta, we are committed to building tools that make choosing to connect virtually easier than ever.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_11,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,"Our strategy comes to life through three pillars: How We Operate—protecting the well-being of people and our planet through our processes, operations and global supply chain.",statement,governance,governance_ai,claim_21,7,doc_2_meta-2021-sustainability-report:p7,"Our strategy comes to life through three pillars: How We Operate—protecting the well-being of people and our planet through our processes, operations and global supply chain.",1,HIGH,false,below_main_analysis_priority_cap,26,supply_chain
normalized_claim_12,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,We are committed to building tools that make choosing options that have a smaller environmental impact.,statement,environment,environmental,claim_22,7,doc_2_meta-2021-sustainability-report:p7,We are committed to building tools that make choosing options that have a smaller environmental impact.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_13,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,Our net zero goal is more than an announcement; it is a program designed to drive real emissions reductions.,statement,climate,environmental,claim_23,7,doc_2_meta-2021-sustainability-report:p7,Our net zero goal is more than an announcement; it is a program designed to drive real emissions reductions.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_16,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,Sustainability is not an add-on for us. It is a driving force in itself that motivates innovation in what we do and how we do it.,statement,ethics,governance_ai,claim_27,8,doc_2_meta-2021-sustainability-report:p8,Sustainability is not an add-on for us. It is a driving force in itself that motivates innovation in what we do and how we do it.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_17,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,We updated our company values to reflect who Meta is as a global community with a wide-reaching impact.,statement,ethics,governance_ai,claim_28,10,doc_2_meta-2021-sustainability-report:p10,We updated our company values to reflect who Meta is as a global community with a wide-reaching impact.,1,HIGH,false,below_main_analysis_priority_cap,18,energy_attribute_certificate
normalized_claim_18,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,Our four-point company plan drives the way we approach business strategy and our sustainability strategy.,statement,governance,governance_ai,claim_29,10,doc_2_meta-2021-sustainability-report:p10,Our four-point company plan drives the way we approach business strategy and our sustainability strategy:,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_20,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,We aim to build products that are useful to billions of people.,statement,social_impact,governance_ai,claim_31,10,doc_2_meta-2021-sustainability-report:p10,We have already built products that are useful to billions of people,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_21,doc_2_meta-2021-sustainability-report,Meta 2021 Sustainability Report,"Our company values include 'Move Fast', which means acting with urgency and not waiting until next week to do something you could do today.",statement,ethics,governance_ai,claim_32,10,doc_2_meta-2021-sustainability-report:p10,Move Fast helps us build and learn faster than anyone else. This means acting with urgency and not waiting until next week to do something you could do today.,1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_22,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"Meta is collaborating with companies, developers, experts and policymakers to build the metaverse — the next generation of digital experiences.",statement,social_impact,governance_ai,claim_33,2,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p2,"Meta is collaborating with companies, developers, experts and policymakers to build the metaverse — the next generation of digital experiences — to evolve the ways the world connects.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_23,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"Meta’s newly improved Meta Avatars offer more than one quintillion different combinations of attributes, including new facial shapes and assistive devices such as cochlear implants, over-the-ear hearing aids, and wheelchairs for people with disabilities.",statement,social_impact,governance_ai,claim_36,3,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p3,"Meta’s newly improved Meta Avatars, for example, offer more than one quintillion different combinations of attributes, including new facial shapes and assistive devices such as cochlear implants, over-the-ear hearing aids, and wheelchairs for people with disabilities.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_24,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,Meta’s AI labs are focused on research and development that promotes diversity and inclusion.,statement,ethics,governance_ai,claim_38,3,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p3,Meta’s AI labs are focused on research and development that promotes diversity and inclusion.,1,HIGH,false,below_main_analysis_priority_cap,36,diversity; inclusion
normalized_claim_25,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"Meta launched No Language Left Behind (NLLB), an AI-enabled system that can translate 200 languages, including 56 African languages.",statement,ethics,governance_ai,claim_40,4,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p4,"Meta launched No Language Left Behind (NLLB), an AI-enabled system that so far can translate 200 languages, including 56 African languages, with state-of-the-art results.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_26,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,Universal Speech Translator is an AI system providing instantaneous speech-to-speech translation across many under-resourced languages.,statement,ethics,governance_ai,claim_41,4,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p4,"Universal Speech Translator, an AI system that provides instantaneous speech-to-speech translation across many under-resourced languages",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_27,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"We launched Meta Immersive Learning, a $150 million investment to help develop the next generation of creators, fund immersive experiences that transform the way we learn and increase access to learning through technology.",commitment,social_impact,governance_ai,claim_42,5,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p5,"That’s why we launched Meta Immersive Learning, a $150 million investment to help develop the next generation of creators, fund immersive experiences that transform the way we learn and increase access to learning through technology.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_28,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,Roughly 75% of Meta teams are working in a distributed-first approach.,result,labor,governance_ai,claim_43,5,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p5,Roughly 75% of Meta teams are working this way.,1,HIGH,false,below_main_analysis_priority_cap,3,specific_percentage
normalized_claim_29,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,Providing remote options increased the diversity of our workforce.,result,labor,governance_ai,claim_44,5,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p5,"Over the past year, we’ve seen that providing remote options increased the diversity of the overall composition of our workforce.",1,HIGH,false,below_main_analysis_priority_cap,18,diversity
normalized_claim_30,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"U.S. candidates who accepted remote job offers were substantially more likely to be Black, Hispanic, Native American, Alaskan Native, Pacific Islander, veterans and/or people with disabilities.",result,labor,governance_ai,claim_45,5,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p5,"U.S. candidates who accepted remote job offers were substantially more likely to be Black, Hispanic, Native American, Alaskan Native, Pacific Islander, veterans and/or people with disabilities.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_31,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"Globally, candidates who accepted remote job offers were more likely to be women.",result,labor,governance_ai,claim_46,5,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p5,"Globally, candidates who accepted remote job offers were more likely to be women.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_32,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,We’ve intentionally set ambitious goals to increase representation in our workforce over five years.,commitment,labor,governance_ai,claim_47,6,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p6,"We’ve intentionally set ambitious goals to increase representation in our workforce over five years, and the latest numbers reflect meaningful progress, thanks in part to the hiring opportunities driven by our strategic decision to embrace remote work.",1,HIGH,false,below_main_analysis_priority_cap,0,generic_medium_value
normalized_claim_33,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,"In 2019, we committed to doubling the number of Black and Hispanic employees in the U.S. and the number of women in our global workforce by 2024.",commitment,labor,governance_ai,claim_48,6,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p6,"In 2019, we committed to doubling the number of Black and Hispanic employees in the U.S. and the number of women in our global workforce by 2024.",1,HIGH,false,below_main_analysis_priority_cap,3,specific_year
normalized_claim_36,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report,Embracing Change Through Inclusion: Meta’s 2022 Diversity Report,Veterans represent 2.3% of our U.S. workforce.,result,labor,governance_ai,claim_51,6,doc_3_meta_embracing-change-through-inclusion_2022-diversity-report:p6,Veterans represent 2.3% of our U.S. workforce,1,HIGH,false,below_main_analysis_priority_cap,-17,specific_percentage; low_information
