normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_1,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 1 GHG emissions increased from 118,100 mtCO2e in FY20 to 143,510 mtCO2e in FY24.",statement,environment,claim_4; claim_11,3; 4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3; doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p4,"Scope 1                                           118,100     123,704      139,413     144,960      143,510 || Category 4 – Upstream Transportation      243,000     225,000     371,000     305,000     400,000",2,MEDIUM,false,medium_priority_excluded_from_main_analysis,-17,specific_year; dense_internal_metric_table
normalized_claim_2,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 2 market-based GHG emissions decreased from 456,119 mtCO2e in FY20 to 259,090 mtCO2e in FY24.",statement,environment,claim_5,3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3,"Market-based                                 456,119     429,405     288,029      393,134     259,090",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-17,specific_year; dense_internal_metric_table
normalized_claim_3,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's total GHG emissions (Scope 1 + 2 + 3) increased from 12,370,000 mtCO2e in FY20 to 15,543,000 mtCO2e in FY24.",statement,environment,claim_6; claim_13,3; 4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p3; doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p4,"Total emissions (Scope 1 + 2 + 3)4            12,370,000   14,129,000  16,343,000   16,935,000  15,543,000 || Total emissions (Scope 1 + 2 + 3)1             15,130,000   14,857,000",2,MEDIUM,false,medium_priority_excluded_from_main_analysis,-17,specific_year; dense_internal_metric_table
normalized_claim_4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 1 + 2 GHG emissions decreased from 574,219 mtCO e in FY20 to 402,600 mtCO e in FY24.",statement,environment,claim_10,4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p4,"Scope 1 + 2 574,219      553,109     427,442     538,094     402,600",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,-17,specific_year; dense_internal_metric_table
normalized_claim_5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's Scope 2 GHG emissions increased from 4,305,119 mtCO e in FY20 to 9,904,643 mtCO e in FY24.",statement,environment,claim_12,4,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p4,"Scope 2 (location-based) (mt)
Scope 2 – CO2                                4,305,119   4,984,442    6,349,431   8,034,943   9,904,643",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,8,specific_year
normalized_claim_10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's total energy consumption increased from 11,283,502 MWh in FY20 to 30,207,220 MWh in FY24.",statement,energy,claim_19,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,"Total energy consumption1               11,283,502    14,133,987   18,644,872   24,007,868   30,207,220",1,HIGH,false,below_main_analysis_priority_cap,8,specific_year
normalized_claim_15,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Percentage of product packaging recyclability is 94.8% in FY24.,commitment,waste,claim_24,7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p7,Percentage of product packaging recyclability                             94.4         93.9        94.8,1,MEDIUM,false,medium_priority_excluded_from_main_analysis,16,specific_year; specific_percentage
normalized_claim_16,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft diverted a total of 28,285 metric tons of waste in FY24.",result,waste,claim_25,7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p7,"Diverted subtotal                               29,153      15,278       17,149     24,663      28,285",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,8,specific_year
normalized_claim_17,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft has identified partnerships with the National Fish and Wildlife Foundation (NFWF) within the United States and The Nature Conservancy (TNC) globally to protect habitat areas.,commitment,environment,claim_26,7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p7,"Since announcing this commitment in April 2020, Microsoft has identified partnerships through two leading land protection organizations, the National Fish and Wildlife Foundation (NFWF) within the United States and The Nature Conservancy (TNC) globally, to partner with on our land protection journey.",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
normalized_claim_18,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft uses a data-informed approach to identify ecosystems most at risk using TNC’s Last Chance Ecosystem Framework and NFWF’s National Landscape Conservation Framework.,commitment,environment,claim_27,7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p7,"A data-informed approach to identify ecosystems most at risk was used, using TNC’s Last Chance Ecosystem Framework and NFWF’s National Landscape Conservation Framework.",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
normalized_claim_19,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft’s GHG inventory includes five of the seven GHGs addressed by the Kyoto Protocol—carbon dioxide (CO2), methane (CH4), nitrous oxide (N O), hydrofluorocarbons (HFCs), and sulfur hexafluoride (SF6).",statement,environment,claim_30,8,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p8,"Microsoft’s GHG inventory includes five of the seven GHGs addressed by the Kyoto Protocol—carbon dioxide (CO2), methane (CH4), nitrous oxide (N O), hydrofluorocarbons (HFCs), and sulfur hexafluoride (SF6).",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
normalized_claim_20,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft does not currently use or emit perfluorocarbons (PFCs) and nitrogen trifluoride (NF3).,statement,environment,claim_31,8,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p8,Microsoft does not currently use or emit perfluorocarbons (PFCs) and nitrogen trifluoride (NF3).,1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
normalized_claim_23,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft's land protection commitment was established in FY20.,statement,environment,claim_34,9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p9,Microsoft’s land protection commitment was established in FY20.,1,MEDIUM,false,medium_priority_excluded_from_main_analysis,8,specific_year
normalized_claim_26,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's waste and circularity metrics include operational waste, product packaging recyclability, and single-use plastics.",statement,environment,claim_38,9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p9,"We include operational waste, product packaging recyclability, and single-use plastics in our waste and circularity metrics.",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
normalized_claim_28,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"We use primary data to calculate emissions for both Scope 1 and Scope 2 emissions. Where primary data is not available, we use estimates.",statement,environment,claim_41,10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p10,"We use primary data to calculate emissions for both Scope 1 and Scope 2 emissions. Where primary data is not available, we use estimates.",1,MEDIUM,false,medium_priority_excluded_from_main_analysis,0,generic_medium_value
