normalized_claim_id,claim_text,query_type,query_text
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,verification,Amazon supplier grievance mechanisms implementation verification
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,criticism,Critiques of Amazon's human rights policies in supply chain
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,methodology,Amazon supplier grievance mechanisms assessment methodology
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,context,Amazon supply chain human rights risks context
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",verification,Amazon supplier human rights verification
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",contradiction,Amazon suppliers human rights controversies
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",criticism,Critiques of Amazon's supply chain human rights policy
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",methodology,Amazon supplier human rights assessment methodology
normalized_claim_2,"We require all suppliers of goods and services for Amazon to respect human rights, including providers, vendors, selling partners, contractors, and subcontractors.",context,Amazon supply chain human rights compared to competitors
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",verification,Amazon human rights impact assessment methodology
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",contradiction,Amazon criticized human rights record
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",criticism,Amazon's approach to addressing adverse human rights impacts
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",methodology,Amazon human rights impact assessment process
normalized_claim_8,"We’re committed to identifying, assessing, prioritizing, and addressing adverse human rights impacts connected to our business.",context,Amazon's role in addressing global human rights issues
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,verification,Amazon human rights officer team verification
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,contradiction,Amazon human rights controversies
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,criticism,Critiques of Amazon's human rights approach
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,methodology,Amazon human rights due diligence methodology
normalized_claim_7,Our human rights officer directs a central team that works across the company to conduct human rights due diligence and integrate respect for human rights into business decisions.,context,Amazon's role in global human rights initiatives context
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",verification,Amazon stakeholder engagement in policy development
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",contradiction,Amazon human rights risks ignored or unaddressed
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",criticism,Critics of Amazon's human rights policies
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",methodology,Amazon human rights risk assessment methodology
normalized_claim_6,"We develop policies through an established process that involves engaging with internal and external stakeholders, assessing human rights risks, and monitoring evolving international and human rights standards, regulations, and industry best practices.",context,Amazon's role in global human rights standards compared to peers
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,verification,Amazon human rights risk assessment methodology
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,contradiction,Amazon criticized human rights record
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,criticism,Amazon's approach to addressing human rights risks criticism
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,methodology,Amazon human rights risk assessment process evaluation
normalized_claim_4,We are continuously working to improve our approach to understanding and addressing human rights-related risks where we do business.,context,Amazon's role in addressing global human rights issues context
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,verification,Amazon Supply Chain Standards verification
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,contradiction,Amazon labor standards controversies
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,criticism,Critiques of Amazon's supply chain governance
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,methodology,Amazon Supply Chain Standards implementation methodology
normalized_claim_3,Amazon’s Supply Chain Standards set forth requirements governing labor standards and working conditions.,context,Amazon supply chain labor conditions compared to industry standards
normalized_claim_12,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",verification,Amazon stakeholder engagement for human rights due diligence
normalized_claim_12,"Engagement with a range of external stakeholders (e.g., public, private, and civil society) is important to identifying positive outcomes for people across our business and key to our human rights due diligence approach.",contradiction,Amazon criticized lack of public consultation on human rights
