normalized_claim_id,claim_text,query_type,query_text,result_rank,title,url,snippet,source,source_quality_score,source_quality_label
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,verification,Amazon supplier grievance mechanisms implementation verification,1,"customergrievancemechanisms: Latest News & Videos, Photos...",https://economictimes.indiatimes.com/topic/customer-grievance-mechanisms,"The District Consumer Disputes Redressal Commission finedAmazonand a retailer for service deficiencies, emphasizing delays in refunding a laptop worth Rs 77,990 and unfair trade practices.Amazonwas directed to improve itsgrievanceredressalmechanism.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,1,Amazon(company) - Wikipedia,https://en.wikipedia.org/wiki/Amazon_(company),"to as ""The Everything Store"".[7]Amazonhas been described as a Big Tech company.[8]. It is mostly known as the world's biggest online shopping retailer and marketplace, best known for a wide range of products andsupplyingmultiple services.",,0.5,medium
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,2,Regulators AccuseAmazonof Singling Out Union Organizers for...,https://www.nytimes.com/2022/09/21/business/economy/amazon-labor-union-nlrb.html,"Federallaborregulators have moved to forceAmazonto scrap a rule that governs employees’ use of nonwork areas, accusing the company of illegally singling out union supporters in enforcing the policy.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,3,Amazonstrike could lead to delays in delivery of holiday... - ABC News,https://abcnews.com/Business/amazon-strike-lead-delays-delivery-holiday-gifts/story?id=116940040,"Nearly 9,000Amazonworkers hit the picket line in alabordispute.In a statement Thursday,Amazonsaid it employs 800,000 operations employees in the United States and does not expect the strike to cause delays in the delivery of holiday packages.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,4,"Stop blaming young people for being unemployed, saysAmazon's UK...",https://www.bbc.com/news/articles/c0l2x5351n4o,"Boumphrey,Amazon's country manager for the UK, said: ""I think too often you read about young people that somehow they lack motivation, they lack resilience, they lack the will to develop skills. That is not our experience.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,5,AmazonMay Have ViolatedLaborLaw by Firing... - Business Insider,https://www.businessinsider.com/amazon-may-violated-labor-law-firing-worker-new-york-attorney-2020-4,"Amazonhas come under fire from employees, lawmakers, andlaboractivists in recent weeks over working conditions at its warehouses and firing of workers who have spoken out about the issue. Visit Business Insider's homepage for more stories.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,contradiction,Amazon supplier labor rights controversies,6,Whole Foods workers say conditions deteriorated afterAmazontakeover,https://www.theguardian.com/business/2019/jul/16/whole-foods-amazon-prime-working-conditions,"Since being bought byAmazontwo years ago, employees at Whole Foods say their working conditions have declined markedly amid pressure to pushAmazonPrime deals and memberships, plus widespread understaffing, increased workloads andlaborbudget cuts.",,1.0,high
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,criticism,Critiques of Amazon's human rights policies in supply chain,1,Amazonfires three employees who werecriticsofits labor practices,https://www.cnbc.com/2020/04/14/amazon-fires-two-employees-who-were-critics-of-its-labor-practices.html,"Amazonfired two employees late last week who were outspokencriticsofthe company's labor practices, including, most recently, its treatment of warehouse workers during the coronavirus outbreak.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,criticism,Critiques of Amazon's human rights policies in supply chain,2,ThreecritiquesofAmazon,https://www.dw.com/en/three-critiques-of-amazon/video-54727182,"HumanRights. Migration.ThreecritiquesofAmazon. To view this video please enable JavaScript, and consider upgrading to a web browser that supports HTML5 video. 01:57.",,0.0,unknown
normalized_claim_13,We are committed to establishing effective grievance mechanisms and remediation procedures to promote respect for human rights and expect every supplier in our supply chain to provide their workers access to effective grievance mechanisms.,criticism,Critiques of Amazon's human rights policies in supply chain,3,10 Ways Amazon Violates Human Rights | Green America,https://greenamerica.org/blog/10-ways-amazon-violates-human-rights,"December 10, 2019 -Amazon is bad for workers, our planet, and consumers. Here are ten ways Amazon violates human rights.",,0.5,medium
