normalized_claim_id,document_id,document_name,claim_text,claim_type,topic,original_claim_ids,page_numbers,source_locations,source_excerpts,group_size,evaluation_priority,main_analysis,exclusion_reason,analytical_value_score,analytical_value_reason
normalized_claim_9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft has maintained carbon neutrality while making progress towards its carbon negative commitment.,statement,environment,claim_18,5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p5,"As we have made progress towards our carbon negative commitment, which includes purchasing carbon removal credits, we have also maintained carbon neutrality.",1,HIGH,true,,105,carbon_neutrality; carbon_neutral; carbon_negative
normalized_claim_8,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft’s carbon neutrality boundary includes global Scope 1, Scope 2 market-based, and Scope 3 business air travel emissions.",statement,environment,claim_17,5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p5,"The boundary for this carbon neutral target includes global Scope 1, Scope 2 market-based, and Scope 3 business air travel emissions.",1,HIGH,true,,100,carbon_neutrality; carbon_neutral; scope_3
normalized_claim_6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft defines carbon neutrality as matching the emissions within the carbon neutrality boundary with an equivalent amount of carbon credits.,statement,environment,claim_14,5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p5,Microsoft defines carbon neutrality as matching the emissions within the carbon neutrality boundary with an equivalent amount of carbon credits as shown in this table.,1,HIGH,true,,94,carbon_neutrality; carbon_neutral; carbon_credit
normalized_claim_33,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft estimates emissions for suppliers who submitted data by multiplying their response-derived factor by the annual spend with the supplier.,statement,environment,claim_46,10,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p10,Microsoft estimates emissions for suppliers who submitted data by multiplying their response-derived factor by the annual spend with the supplier.,1,HIGH,true,,84,supplier; supplier_spend_methodology; supplier_response_factor
normalized_claim_25,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft's water inventory includes withdrawal, consumption, and discharge volumes associated with assets under its operational control.",statement,environment,claim_37,9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p9,"Microsoft’s water inventory includes withdrawal, consumption, and discharge volumes associated with assets under our operational control.",1,HIGH,true,,76,water; water_inventory; operational_control
normalized_claim_24,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft procures renewable energy from on-site generation, unbundled EACs, PPAs, and green power products to match 100% of its global electricity consumption.",statement,environment,claim_35,9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p9,Microsoft procures enough renewable electricity to match 100% of our global electricity consumption.,1,HIGH,true,,72,absolute_100_percent_claim; ppa; energy_attribute_certificate; specific_percentage
normalized_claim_22,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"Microsoft purchases both third-party certified and uncertified tons of carbon dioxide removal in an effort to develop the market, but only applies certified tons within its carbon neutrality boundary.",statement,environment,claim_33,9,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p9,"We purchase both third-party certified and uncertified tons in an effort to help develop the market, but we only apply the certified tons to the emissions within our carbon neutrality boundary (Scope 1, Scope 2 market-based, and Scope 3 business air travel).",1,HIGH,true,,70,carbon_neutrality; carbon_neutral
normalized_claim_11,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft's percentage of renewable electricity consumption remained at 100% from FY20 to FY24.,statement,energy,claim_20,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,Percentage of renewable electricity 100          100          100          100         100,1,HIGH,true,,48,renewable_electricity; absolute_100_percent_claim; specific_year; specific_percentage; internal_renewable_percentage_table
normalized_claim_7,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,Microsoft’s target to be carbon neutral every year since FY13.,commitment,environment,claim_15,5,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p5,This data supports Microsoft’s target to be carbon neutral every year since FY13.,1,HIGH,true,,43,carbon_neutral; specific_year
normalized_claim_14,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf,2025 Microsoft Environmental Data Fact Sheet,"In FY24, 42% of Microsoft's total water consumption was from areas with high water stress.",statement,water,claim_23,6,doc_1_2025-microsoft-environmental-data-fact-sheet-pdf:p6,"total water consumption from areas with water stress was 2,423 ML (42% of total water consumption)",1,HIGH,true,,40,water; specific_year; specific_percentage
